barcode,time,temp,Count
N1059   ,0.8,35.59,0.0
N1059   ,0.9,35.73,0.0
N1059   ,1.0,35.49,1.0
N1059   ,1.1,35.66,0.0
N1059   ,1.2,35.77,1.0
N1059   ,1.3,35.85,0.0
N1059   ,1.4,35.9,1.0
N1059   ,1.5,35.6,0.0
N1059   ,1.6,35.73,1.0
N1059   ,1.7,35.49,0.0
N1059   ,1.8,35.66,0.0
N1059   ,1.9,35.77,1.0
N1059   ,2.0,35.85,0.0
N1059   ,2.1,35.57,0.0
N1059   ,2.2,35.71,1.0
N1059   ,2.3,36.14,0.0
N1059   ,2.4,36.09,1.0
N1059   ,2.5,36.06,0.0
N1059   ,2.6,36.04,1.0
N1059   ,2.7,36.03,1.0
N1059   ,2.8,36.02,1.0
N1059   ,2.9,36.01,0.0
N1059   ,3.0,36.01,1.0
N1059   ,3.1,36.01,0.0
N1059   ,3.2,36.0,0.0
N1059   ,3.3,36.0,1.0
N1059   ,3.4,36.0,0.0
N1059   ,3.5,36.0,1.0
N1059   ,3.6,35.67,0.0
N1059   ,3.7,35.44,1.0
N1059   ,3.8,35.63,0.0
N1059   ,3.9,35.75,0.0
N1059   ,4.0,36.17,1.0
N1059   ,4.1,36.45,1.0
N1059   ,4.2,36.3,0.0
N1059   ,4.3,36.2,1.0
N1059   ,4.4,36.13,0.0
N1059   ,4.5,36.09,0.0
N1059   ,4.6,36.39,1.0
N1059   ,4.7,36.59,0.0
N1059   ,4.8,36.4,1.0
N1059   ,4.9,37.6,0.0
N1059   ,5.0,38.4,0.0
N1059   ,5.1,38.93,1.0
N1059   ,5.2,39.29,1.0
N1059   ,5.3,39.53,0.0
N1059   ,5.4,39.68,0.0
N1059   ,5.5,40.12,0.0
N1059   ,5.6,40.08,1.0
N1059   ,5.7,40.72,0.0
N1059   ,5.8,40.81,1.0
N1059   ,5.9,41.21,0.0
N1059   ,6.0,41.47,0.0
N1059   ,6.1,41.65,1.0
N1059   ,6.2,41.43,0.0
N1059   ,6.3,41.62,1.0
N1059   ,6.4,41.75,0.0
N1059   ,6.5,42.17,1.0
N1059   ,6.6,42.44,0.0
N1059   ,6.7,42.3,0.0
N1059   ,6.8,42.53,1.0
N1059   ,6.9,42.69,2.0
N1059   ,7.0,43.12,1.0
N1059   ,7.1,43.42,0.0
N1059   ,7.2,43.94,0.0
N1059   ,7.3,44.3,1.0
N1059   ,7.4,44.2,0.0
N1059   ,7.5,44.46,0.0
N1059   ,7.6,44.64,1.0
N1059   ,7.7,44.76,0.0
N1059   ,7.8,44.84,0.0
N1059   ,7.9,44.89,1.0
N1059   ,8.0,44.93,0.0
N1059   ,8.1,44.95,0.0
N1059   ,8.2,44.97,1.0
N1059   ,8.3,44.98,0.0
N1059   ,8.4,45.32,1.0
N1059   ,8.5,44.55,0.0
N1059   ,8.6,45.03,1.0
N1059   ,8.7,45.35,0.0
N1059   ,8.8,45.57,0.0
N1059   ,8.9,45.71,1.0
N1059   ,9.0,46.14,0.0
N1059   ,9.1,46.09,0.0
N1059   ,9.2,46.06,1.0
N1059   ,9.3,46.38,0.0
N1059   ,9.4,46.92,0.0
N1059   ,9.5,47.28,1.0
N1059   ,9.6,47.52,0.0
N1059   ,9.7,47.68,0.0
N1059   ,9.8,47.45,1.0
N1059   ,9.9,47.3,0.0
N1059   ,10.0,47.87,1.0
N1059   ,10.1,48.25,0.0
N1059   ,10.2,48.5,0.0
N1059   ,10.3,48.66,1.0
N1059   ,10.4,48.44,0.0
N1059   ,10.5,48.63,0.0
N1059   ,10.6,48.42,1.0
N1059   ,10.7,48.28,1.0
N1059   ,10.8,48.85,1.0
N1059   ,10.9,49.24,0.0
N1059   ,11.0,49.16,1.0
N1059   ,11.1,49.44,1.0
N1059   ,11.2,49.63,0.0
N1059   ,11.3,49.42,1.0
N1059   ,11.4,49.61,0.0
N1059   ,11.5,50.07,1.0
N1059   ,11.6,50.05,0.0
N1059   ,11.7,50.03,0.0
N1059   ,11.8,50.36,1.0
N1059   ,11.9,50.57,0.0
N1059   ,12.0,50.71,1.0
N1059   ,12.1,51.14,0.0
N1059   ,12.2,51.43,0.0
N1059   ,12.3,51.62,1.0
N1059   ,12.4,51.75,0.0
N1059   ,12.5,51.83,1.0
N1059   ,12.6,51.89,0.0
N1059   ,12.7,52.26,0.0
N1059   ,12.8,52.17,1.0
N1059   ,12.9,52.45,0.0
N1059   ,13.0,52.3,1.0
N1059   ,13.1,52.2,0.0
N1059   ,13.2,52.47,1.0
N1059   ,13.3,52.31,1.0
N1059   ,13.4,52.54,0.0
N1059   ,13.5,53.03,1.0
N1059   ,13.6,53.35,1.0
N1059   ,13.7,53.57,1.0
N1059   ,13.8,54.05,0.0
N1059   ,13.9,54.03,1.0
N1059   ,14.0,54.02,0.0
N1059   ,14.1,54.01,1.0
N1059   ,14.2,54.34,0.0
N1059   ,14.3,54.23,0.0
N1059   ,14.4,54.49,1.0
N1059   ,14.5,54.99,1.0
N1059   ,14.6,54.66,0.0
N1059   ,14.7,54.77,1.0
N1059   ,14.8,54.85,0.0
N1059   ,14.9,54.9,1.0
N1059   ,15.0,54.93,0.0
N1059   ,15.1,55.62,1.0
N1059   ,15.2,55.08,0.0
N1059   ,15.3,55.72,1.0
N1059   ,15.4,55.81,0.0
N1059   ,15.5,55.88,1.0
N1059   ,15.6,56.25,0.0
N1059   ,15.7,56.83,0.0
N1059   ,15.8,56.89,1.0
N1059   ,15.9,57.26,1.0
N1059   ,16.0,57.51,0.0
N1059   ,16.1,57.34,1.0
N1059   ,16.2,57.56,1.0
N1059   ,16.3,57.71,0.0
N1059   ,16.4,57.8,1.0
N1059   ,16.5,57.87,0.0
N1059   ,16.6,57.91,0.0
N1059   ,16.7,57.94,1.0
N1059   ,16.8,57.96,0.0
N1059   ,16.9,57.97,0.0
N1059   ,17.0,58.32,1.0
N1059   ,17.1,58.54,0.0
N1059   ,17.2,58.36,1.0
N1059   ,17.3,58.91,0.0
N1059   ,17.4,59.27,1.0
N1059   ,17.5,59.51,0.0
N1059   ,17.6,60.01,1.0
N1059   ,17.7,59.67,1.0
N1059   ,17.8,60.12,1.0
N1059   ,17.9,60.08,0.0
N1059   ,18.0,60.38,1.0
N1059   ,18.1,60.59,0.0
N1059   ,18.2,60.73,0.0
N1059   ,18.3,61.15,1.0
N1059   ,18.4,61.1,0.0
N1059   ,18.5,61.07,1.0
N1059   ,18.6,61.38,1.0
N1059   ,18.7,61.25,0.0
N1059   ,18.8,61.5,0.0
