barcode,time,temp,Count
N1029   ,0.8,36.52,0.0
N1029   ,0.9,36.35,0.0
N1029   ,1.0,36.56,1.0
N1029   ,1.1,36.71,0.0
N1029   ,1.2,36.81,1.0
N1029   ,1.3,36.87,0.0
N1029   ,1.4,36.91,1.0
N1029   ,1.5,36.94,1.0
N1029   ,1.6,37.3,1.0
N1029   ,1.7,37.2,0.0
N1029   ,1.8,37.13,0.0
N1029   ,1.9,37.09,1.0
N1029   ,2.0,37.06,0.0
N1029   ,2.1,37.04,1.0
N1029   ,2.2,37.03,0.0
N1029   ,2.3,37.02,1.0
N1029   ,2.4,37.01,0.0
N1029   ,2.5,37.01,1.0
N1029   ,2.6,37.01,0.0
N1029   ,2.7,37.0,0.0
N1029   ,2.8,37.0,1.0
N1029   ,2.9,37.0,0.0
N1029   ,3.0,37.0,1.0
N1029   ,3.1,37.0,0.0
N1029   ,3.2,37.0,1.0
N1029   ,3.3,37.0,0.0
N1029   ,3.4,37.0,1.0
N1029   ,3.5,37.33,0.0
N1029   ,3.6,37.22,0.0
N1029   ,3.7,37.15,1.0
N1029   ,3.8,37.1,0.0
N1029   ,3.9,37.07,1.0
N1029   ,4.0,37.04,0.0
N1029   ,4.1,37.03,1.0
N1029   ,4.2,36.69,2.0
N1029   ,4.3,36.79,0.0
N1029   ,4.4,36.86,1.0
N1029   ,4.5,36.91,0.0
N1029   ,4.6,37.27,1.0
N1029   ,4.7,37.51,0.0
N1029   ,4.8,38.01,1.0
N1029   ,4.9,38.01,0.0
N1029   ,5.0,39.0,1.0
N1029   ,5.1,39.67,0.0
N1029   ,5.2,40.11,0.0
N1029   ,5.3,40.08,1.0
N1029   ,5.4,40.38,0.0
N1029   ,5.5,40.59,1.0
N1029   ,5.6,40.73,0.0
N1029   ,5.7,40.82,0.0
N1029   ,5.8,40.88,1.0
N1029   ,5.9,41.25,0.0
N1029   ,6.0,41.17,1.0
N1029   ,6.1,41.45,0.0
N1029   ,6.2,41.96,1.0
N1029   ,6.3,41.98,0.0
N1029   ,6.4,41.98,0.0
N1029   ,6.5,42.32,1.0
N1029   ,6.6,42.22,0.0
N1029   ,6.7,42.48,1.0
N1029   ,6.8,42.32,0.0
N1029   ,6.9,42.55,0.0
N1029   ,7.0,42.7,1.0
N1029   ,7.1,42.8,2.0
N1029   ,7.2,42.87,0.0
N1029   ,7.3,42.58,1.0
N1029   ,7.4,42.72,0.0
N1029   ,7.5,42.81,1.0
N1029   ,7.6,43.21,0.0
N1029   ,7.7,43.47,1.0
N1029   ,7.8,43.98,0.0
N1029   ,7.9,43.99,1.0
N1029   ,8.0,44.33,0.0
N1029   ,8.1,44.22,0.0
N1029   ,8.2,44.48,1.0
N1029   ,8.3,44.65,0.0
N1029   ,8.4,44.77,1.0
N1029   ,8.5,44.85,0.0
N1029   ,8.6,44.56,0.0
N1029   ,8.7,45.04,1.0
N1029   ,8.8,45.03,1.0
N1029   ,8.9,45.02,0.0
N1029   ,9.0,45.01,1.0
N1029   ,9.1,45.34,0.0
N1029   ,9.2,45.89,1.0
N1029   ,9.3,46.26,0.0
N1029   ,9.4,46.18,1.0
N1029   ,9.5,46.12,0.0
N1029   ,9.6,46.41,1.0
N1029   ,9.7,46.27,1.0
N1029   ,9.8,46.18,0.0
N1029   ,9.9,46.12,0.0
N1029   ,10.0,46.41,1.0
N1029   ,10.1,46.61,0.0
N1029   ,10.2,47.07,1.0
N1029   ,10.3,46.72,0.0
N1029   ,10.4,46.48,1.0
N1029   ,10.5,46.65,1.0
N1029   ,10.6,47.1,2.0
N1029   ,10.7,47.4,0.0
N1029   ,10.8,47.6,0.0
N1029   ,10.9,47.73,1.0
N1029   ,11.0,47.82,0.0
N1029   ,11.1,47.88,1.0
N1029   ,11.2,47.92,0.0
N1029   ,11.3,47.95,1.0
N1029   ,11.4,48.3,0.0
N1029   ,11.5,48.2,0.0
N1029   ,11.6,47.8,1.0
N1029   ,11.7,47.87,0.0
N1029   ,11.8,47.91,1.0
N1029   ,11.9,48.27,0.0
N1029   ,12.0,48.52,1.0
N1029   ,12.1,48.68,0.0
N1029   ,12.2,49.12,0.0
N1029   ,12.3,49.41,1.0
N1029   ,12.4,49.61,2.0
N1029   ,12.5,49.74,0.0
N1029   ,12.6,49.83,0.0
N1029   ,12.7,49.88,0.0
N1029   ,12.8,49.59,1.0
