barcode,time,temp,Count
N1032   ,4,38.41,4
N1032   ,4.5,38.27,4
N1032   ,5,38.85,1
N1032   ,5.5,39.56,2
N1032   ,6,40.04,2
N1032   ,6.5,40.36,1
N1032   ,7,40.57,2
N1032   ,7.5,40.72,3
N1032   ,8,40.81,2
N1032   ,8.5,41.21,2
N1032   ,9,41.14,1
N1032   ,9.5,41.09,3
N1032   ,10,41.73,2
N1032   ,10.5,41.82,2
N1032   ,11,41.88,3
N1032   ,11.5,41.59,2
N1032   ,12,41.72,1
N1032   ,12.5,41.82,2
N1032   ,13,41.88,2
N1032   ,13.5,41.92,3
N1032   ,14,42.28,2
N1032   ,14.5,42.19,3
N1032   ,15,42.46,2
N1032   ,15.5,42.64,3
N1032   ,16,42.76,3
N1032   ,16.5,42.51,2
N1032   ,17,42.67,2
N1032   ,17.5,43.11,2
N1032   ,18,43.41,1
N1032   ,18.5,43.61,2
N1032   ,19,43.4,1
N1032   ,19.5,43.6,4
N1032   ,20,43.74,2
N1032   ,20.5,43.82,1
N1032   ,21,43.88,2
N1032   ,21.5,43.92,2
N1032   ,22,43.95,2
N1032   ,22.5,43.97,2
N1032   ,23,43.98,2
N1032   ,23.5,44.32,2
N1032   ,24,44.55,1
N1032   ,24.5,44.36,2
N1032   ,25,44.24,3
N1032   ,25.5,44.49,2
N1032   ,26,44.33,2
N1032   ,26.5,44.55,2
N1032   ,27,44.7,2
N1032   ,27.5,44.8,2
N1032   ,28,44.87,2
N1032   ,28.5,44.91,3
N1032   ,29,44.94,2
N1032   ,29.5,44.96,1
N1032   ,30,44.97,2
N1032   ,30.5,45.32,2
N1032   ,31,45.54,2
N1032   ,31.5,45.7,3
N1032   ,32,45.8,3
N1032   ,32.5,45.86,2
N1032   ,33,45.58,2
N1032   ,33.5,45.72,2
N1032   ,34,45.81,2
N1032   ,34.5,45.87,2
N1032   ,35,45.92,3
N1032   ,35.5,46.28,2
N1032   ,36,46.19,3
N1032   ,36.5,46.46,1
N1032   ,37,46.64,2
N1032   ,37.5,46.76,2
N1032   ,38,46.84,2
N1032   ,38.5,46.89,4
N1032   ,39,46.93,2
N1032   ,39.5,46.62,2
N1032   ,40,47.08,2
N1032   ,40.5,47.39,2
N1032   ,41,47.59,2
N1032   ,41.5,47.39,2
N1032   ,42,47.26,2
N1032   ,42.5,47.51,2
N1032   ,43,47.67,2
N1032   ,43.5,47.45,2
N1032   ,44,47.3,3
N1032   ,44.5,47.2,2
N1032   ,45,47.8,1
N1032   ,45.5,47.87,2
N1032   ,46,47.91,2
N1032   ,46.5,48.27,2
N1032   ,47,48.52,2
N1032   ,47.5,48.68,2
N1032   ,48,48.78,2
N1032   ,48.5,48.52,3
N1032   ,49,48.35,2
N1032   ,49.5,48.57,2
N1032   ,50,48.71,2
N1032   ,50.5,49.14,2
N1032   ,51,49.09,2
N1032   ,51.5,49.4,2
N1032   ,52,49.6,2
N1032   ,52.5,49.73,3
N1032   ,53,49.82,2
N1032   ,53.5,49.88,2
N1032   ,54,49.59,2
N1032   ,54.5,49.72,2
N1032   ,55,50.15,3
N1032   ,55.5,50.43,2
N1032   ,56,50.29,2
N1032   ,56.5,50.53,2
N1032   ,57,50.68,2
N1032   ,57.5,51.12,2
N1032   ,58,51.42,2
N1032   ,58.5,51.61,2
N1032   ,59,51.74,2
N1032   ,59.5,51.49,3
N1032   ,60,51.66,1
N1032   ,60.5,51.77,3
N1032   ,61,51.85,2
N1032   ,61.5,51.9,2
N1032   ,62,51.93,2
N1032   ,62.5,51.96,2
N1032   ,63,51.97,2
N1032   ,63.5,51.98,2
N1032   ,64,52.65,2
N1032   ,64.5,52.44,4
N1032   ,65,52.62,1
N1032   ,65.5,52.42,3
N1032   ,66,52.28,2
N1032   ,66.5,52.18,2
N1032   ,67,52.12,2
N1032   ,67.5,51.75,1
N1032   ,68,52.17,4
N1032   ,68.5,52.44,3
N1032   ,69,52.63,2
N1032   ,69.5,52.75,2
N1032   ,70,53.17,2
N1032   ,70.5,53.45,7
N1032   ,71,53.3,3
N1032   ,71.5,53.2,1
N1032   ,72,53.13,2
N1032   ,72.5,53.42,4
N1032   ,73,53.95,2
N1032   ,73.5,53.97,2
N1032   ,74,53.64,1
N1032   ,74.5,54.1,2
N1032   ,75,54.06,2
N1032   ,75.5,54.04,2
N1032   ,76,54.03,2
N1032   ,76.5,54.02,2
N1032   ,77,54.35,3
N1032   ,77.5,54.23,2
N1032   ,78,54.15,2
N1032   ,78.5,55.1,2
N1032   ,79,54.73,2
N1032   ,79.5,54.49,3
N1032   ,80,54.66,2
N1032   ,80.5,54.77,2
N1032   ,81,56.18,2
N1032   ,81.5,56.12,2
N1032   ,82,56.08,2
N1032   ,82.5,56.05,3
N1032   ,83,56.04,1
N1032   ,83.5,55.69,3
N1032   ,84,55.46,1
N1032   ,84.5,55.31,3
N1032   ,85,55.54,1
N1032   ,85.5,56.03,3
N1032   ,86,56.02,2
N1032   ,86.5,56.34,3
N1032   ,87,56.23,3
N1032   ,87.5,56.49,3
N1032   ,88,56.32,2
N1032   ,88.5,56.55,2
N1032   ,89,56.7,2
N1032   ,89.5,56.47,3
N1032   ,90,56.98,2
N1032   ,90.5,56.99,2
N1032   ,91,57.32,3
N1032   ,91.5,57.55,1
N1032   ,92,57.7,4
N1032   ,92.5,57.47,1
N1032   ,93,57.64,3
N1032   ,93.5,56.76,2
N1032   ,94,57.18,3
N1032   ,94.5,57.78,2
N1032   ,95,56.86,3
N1032   ,95.5,57.24,2
N1032   ,96,57.49,2
N1032   ,96.5,57.33,2
N1032   ,97,57.22,2
N1032   ,97.5,57.81,3
N1032   ,98,57.87,2
N1032   ,98.5,57.92,3
N1032   ,99,58.28,2
N1032   ,99.5,58.19,1
N1032   ,100,58.46,2
N1032   ,100.5,58.64,4
N1032   ,101,59.09,2
N1032   ,101.5,59.39,3
N1032   ,102,59.26,2
N1032   ,102.5,59.51,2
N1032   ,103,59.34,2
N1032   ,103.5,59.23,4
