                       Research (Cts/Temp.) Glow Curve,,
,,
File Name:        R&D-Quest4TTP 29,,
Date & Time:     6/25/2018 1:38:25 PM,,
,,
,Temperature,Counts
86,85,1
87,86,2
88,86,1
89,86,2
90,87,2
91,86,2
92,86,2
93,87,2
94,86,2
95,87,2
96,86,2
97,87,3
98,87,3
99,88,3
100,88,3
101,88,3
102,88,3
103,88,3
104,89,3
105,89,4
106,89,4
107,89,4
108,89,4
109,89,4
110,89,4
111,90,4
112,90,5
113,90,5
114,90,5
115,90,5
116,91,5
117,91,6
118,91,6
119,91,6
120,91,6
121,91,7
122,92,7
123,92,7
124,93,7
125,92,7
126,92,8
127,92,8
128,92,8
129,93,9
130,93,9
131,93,9
132,94,9
133,94,10
134,94,10
135,94,10
136,95,10
137,95,11
138,95,11
139,95,11
140,96,12
141,96,12
142,96,13
143,96,13
144,95,13
145,95,13
146,96,14
147,96,14
148,96,14
149,96,15
150,96,15
151,96,15
152,97,15
153,97,16
154,97,16
155,98,17
156,98,17
157,98,17
158,98,19
159,98,19
160,98,19
161,99,19
162,98,20
163,99,20
164,99,21
165,99,21
166,99,21
167,99,22
168,99,23
169,99,23
170,100,23
171,100,24
172,101,24
173,101,25
174,101,25
175,101,26
176,101,26
177,101,27
178,101,28
179,101,29
180,101,29
181,102,29
182,102,29
183,102,30
184,102,30
185,102,30
186,102,31
187,103,31
188,103,32
189,103,33
190,103,34
191,103,35
192,103,35
193,104,36
194,104,36
195,104,37
196,104,37
197,104,38
198,104,39
199,104,39
200,105,40
201,105,40
202,105,41
203,105,41
204,105,42
205,105,43
206,106,43
207,106,44
208,106,45
209,106,46
210,106,47
211,107,48
212,107,48
213,107,48
214,107,49
215,107,50
216,107,50
217,108,51
218,108,51
219,107,52
220,108,53
221,107,54
222,108,54
223,109,56
224,109,56
225,109,56
226,109,57
227,109,58
228,110,59
229,110,60
230,110,60
231,110,61
232,110,62
233,110,63
234,110,63
235,111,65
236,111,65
237,112,66
238,112,66
239,111,67
240,111,67
