                       Research (Cts/Temp.) Glow Curve,,,
,,,
File Name:        R&D-Quest4TTP 43,,,
Date & Time:     6/25/2018 1:45:21 PM,,,
,,,
,Temperature,Counts,Int. Counts
,102,1,
,103,2,
,104,2,
,105,2,
,106,2,
,107,3,
,108,3,
,109,4,
,110,4,
,111,5,
,112,6,
,113,6,
,114,7,
,115,8,
,116,9,
,117,10,
,118,12,
,119,13,
,120,16,
,121,17,
,122,20,
,123,22,
,124,25,
,125,28,
,126,32,
,127,36,
,128,40,
,129,45,
,130,50,
,131,57,
,132,64,
,133,70,
,134,79,
,135,88,
,136,98,
,137,107,
,138,118,
,139,130,
,140,144,
,141,156,
,142,171,
,143,185,
,144,202,
,145,217,
,146,233,
,147,249,
,148,265,
,148,281,
,150,295,
,150,310,
,151,322,
,153,333,
,154,341,
,155,348,
,156,349,
,157,351,
,158,347,
,159,343,
,160,333,
,161,323,
,162,311,
,163,299,
,164,286,
,165,273,
,166,261,
,167,251,
,168,243,
,169,238,
,170,236,
,171,237,
,172,240,
,173,246,
,174,259,
,175,272,
,176,290,
,177,310,
,178,332,
,179,353,
,180,379,
,181,403,
,182,430,
,183,460,
,184,488,
,185,515,
,185,544,
,187,573,
,188,600,
,189,626,
,190,653,
,191,676,
,192,696,
,193,715,
,194,733,
,195,745,
,196,751,
,197,756,
,198,757,
,199,754,
,200,747,
,201,742,
,202,737,
,203,731,
,204,726,
,205,723,
,206,723,
,207,725,
,208,729,
,209,740,
,210,755,
,211,767,
,212,780,
,213,797,
,213,820,
,215,839,
,215,856,
,217,874,
,218,897,
,219,912,
,220,930,
,221,948,
,222,965,
,223,976,
,224,989,
,224,994,
,226,1006,
,226,1009,
,227,1021,
,229,1028,
,230,1038,
,231,1045,
,232,1051,
,233,1060,
,233,1074,
,235,1087,
,235,1105,
,236,1122,
,237,1145,
,238,1170,
,239,1191,
,240,1210,
,241,1235,
,242,1255,
,243,1270,
,245,1279,
,245,1282,
,246,1265,
,248,1248,
,249,1211,
,250,1167,
,251,1107,
,252,1043,
,253,962,
,254,873,
,254,783,
,256,690,
,256,599,
,258,513,
,258,433,
,259,360,
,259,294,
,259,238,
,259,192,
,260,154,
,260,124,
,260,100,
,260,83,
,260,70,
,260,60,
,259,53,
,259,47,
,259,43,
,259,40,
,260,38,
,259,36,
,259,35,
,259,33,
