                       Research (Cts/Temp.) Glow Curve,,,
,,,
File Name:        R&D-Quest4TTP 36,,,
Date & Time:     6/25/2018 1:42:04 PM,,,
,,,
,Temperature,Counts,
,25,0,85762
,25,0,
,25,0,
,25,0,
,25,0,
,24,0,
,25,0,
,25,0,
,25,0,
,25,0,
,25,0,
,25,0,
,25,0,
,26,0,
,26,0,
,25,0,
,25,0,
,26,0,
,27,0,
,28,0,
,30,0,
,31,0,
,33,0,
,34,0,
,36,0,
,37,0,
,38,0,
,40,0,
,42,0,
,43,0,
,45,0,
,46,0,
,48,0,
,50,0,
,51,0,
,53,0,
,54,0,
,56,0,
,58,0,
,60,0,
,61,0,
,63,0,
,64,0,
,66,0,
,67,0,
,69,0,
,71,0,
,72,0,
,74,0,
,76,0,
,77,1,
,78,0,
,79,0,
,80,0,
,81,0,
,81,0,
,81,0,
,82,0,
,82,1,
,82,0,
,83,0,
,83,0,
,84,0,
,84,0,
,84,0,
,85,0,
,86,0,
,86,0,
,86,0,
,87,1,
,87,0,
,87,1,
,87,1,
,88,0,
,88,1,
,89,1,
,89,1,
,89,1,
,90,1,
,90,1,
,90,1,
,90,1,
,91,1,
,91,1,
,91,1,
,92,1,
,92,1,
,93,1,
,93,1,
,93,2,
,94,2,
,94,2,
,95,2,
,94,2,
,95,2,
,95,2,
,96,2,
,96,2,
,97,3,
,97,3,
,97,3,
,98,3,
,98,3,
,99,3,
,99,4,
,99,4,
,100,4,
,100,4,
,100,4,
,101,4,
,101,5,
,101,5,
,102,5,
,102,5,
,103,5,
,103,6,
,103,6,
,103,7,
,104,7,
,105,7,
,105,8,
,106,8,
,106,9,
,107,9,
,107,9,
,107,10,
,107,10,
,108,10,
,108,11,
,108,12,
,109,12,
,109,12,
,110,13,
,110,14,
,111,14,
,111,15,
,111,16,
,111,17,
,111,17,
,112,18,
,112,18,
,113,19,
,113,20,
,114,21,
,114,22,
,114,23,
,114,24,
,114,25,
,115,26,
,115,26,
,116,27,
,117,28,
,117,29,
,117,31,
,117,32,
,118,33,
,118,34,
,118,35,
,119,37,
,119,38,
,120,39,
,120,41,
,120,42,
,121,43,
,121,45,
,121,46,
,122,48,
,122,49,
,123,50,
,123,52,
,123,53,
,123,55,
,124,57,
,124,59,
,125,61,
,125,63,
,125,65,
,126,66,
,126,67,
,126,70,
,127,71,
,127,73,
,128,74,
,129,76,
,129,78,
,129,79,
,129,81,
,129,83,
,130,85,
,131,86,
,131,88,
,132,89,
,132,92,
,132,93,
,132,94,
,133,95,
,134,97,
,134,99,
,134,101,
,135,102,
,135,103,
,135,104,
,135,104,
,136,105,
,136,107,
,136,108,
,137,109,
,137,109,
,138,109,
,138,109,
,138,110,
,139,111,
,139,111,
,139,111,
,139,110,
,140,110,
,140,111,
,141,110,
,141,109,
,142,109,
,142,108,
,142,107,
,143,106,
,143,105,
,144,104,
,144,103,
,144,101,
,144,100,
,144,98,
,145,96,
,146,94,
,146,93,
,146,92,
,147,91,
,147,89,
,148,87,
,148,85,
,148,84,
,149,82,
,149,81,
,149,79,
,150,76,
,150,75,
,151,74,
,150,73,
,151,72,
,151,70,
,151,69,
,152,68,
,152,67,
,153,66,
,153,66,
,153,67,
,154,67,
,155,67,
,155,66,
,155,67,
,155,67,
,155,68,
,156,68,
,156,69,
,157,69,
,157,70,
,157,72,
,158,72,
,159,73,
,159,76,
,159,77,
,159,79,
,160,81,
,161,82,
,161,83,
,161,85,
,161,87,
,162,90,
,162,92,
,162,95,
,163,97,
,163,99,
,163,101,
,164,103,
,164,106,
,164,109,
,165,112,
,165,115,
,166,117,
,166,121,
,166,124,
,167,127,
,167,130,
,167,133,
,168,134,
,168,139,
,169,140,
,169,143,
,169,146,
,170,149,
,170,152,
,170,156,
,171,159,
,172,161,
,171,164,
,172,167,
,172,170,
,173,173,
,173,174,
,174,178,
,174,181,
,174,185,
,174,186,
,175,189,
,175,192,
,175,193,
,175,195,
,176,198,
,177,200,
,177,203,
,177,204,
,178,206,
,178,209,
,178,211,
,179,212,
,179,213,
,179,214,
,180,214,
,180,215,
,181,217,
,181,218,
,182,219,
,182,218,
,183,219,
,183,220,
,183,219,
,184,220,
,184,220,
,184,218,
,185,219,
,185,219,
,185,217,
,186,216,
,186,214,
,186,213,
,187,211,
,187,209,
,188,207,
,188,206,
,188,205,
,189,204,
,189,202,
,190,201,
,190,200,
,190,198,
,191,196,
,191,195,
,191,194,
,191,193,
,192,192,
,192,191,
,192,191,
,193,190,
,193,188,
,194,187,
,194,187,
,194,188,
,195,189,
,195,189,
,196,190,
,196,190,
,197,190,
,197,191,
,197,192,
,198,194,
,198,195,
,198,198,
,199,200,
,199,200,
,199,201,
,200,203,
,200,207,
,200,209,
