                       Research (Cts/Temp.) Glow Curve,,
,,
File Name:        R&D-20180626TLD300 42,,
Date & Time:     10/2/2018 5:20:36 PM,,
,,
,Temperature,Counts
,27,1
,27,1
,28,0
,28,1
,28,0
,28,1
,27,0
,27,0
,27,1
,27,0
,27,0
,27,0
,27,0
,27,0
,27,0
,28,0
,27,1
,27,0
,27,0
,27,0
,27,0
,27,1
,27,0
,27,0
,27,0
,27,0
,27,0
,28,0
,28,0
,29,0
,30,0
,31,0
,32,0
,33,0
,34,0
,35,0
,36,1
,37,0
,39,0
,39,1
,40,0
,41,0
,42,0
,44,0
,45,0
,45,1
,46,0
,47,0
,48,0
,50,0
,51,1
,52,0
,53,0
,54,0
,56,0
,56,0
,58,0
,59,0
,59,1
,60,0
,61,0
,62,0
,64,0
,65,0
,66,0
,67,0
,67,0
,68,0
,70,0
,71,1
,72,0
,73,1
,74,0
,75,0
,76,1
,77,0
,78,1
,79,0
,80,1
,81,0
,82,1
,84,1
,84,1
,85,1
,85,1
,85,1
,86,1
,86,1
,86,1
,86,1
,86,1
,86,1
,87,1
,86,1
,86,1
,86,1
,86,1
,87,1
,87,2
,87,2
,87,2
,87,2
,88,2
,88,2
,88,2
,88,2
,88,2
,88,2
,88,2
,88,2
,88,3
,88,3
,88,3
,88,3
,88,3
,88,3
,88,3
,89,4
,88,3
,88,4
,89,4
,89,4
,89,4
,89,4
,89,4
,89,4
,89,4
,89,5
,90,4
,89,5
,90,5
,90,5
,90,5
,90,5
,91,6
,91,6
,90,6
,90,6
,90,6
,90,6
,91,7
,91,7
,91,7
,91,7
,91,7
,91,7
,91,8
,91,8
,91,8
,91,8
,91,8
,91,8
,92,8
,92,8
,92,8
,92,9
,93,9
,93,9
,93,9
,93,9
,93,9
,93,9
,93,9
,93,9
,93,9
,93,10
,93,10
,93,10
,93,10
,93,10
,93,11
,94,11
,94,11
,94,11
,94,10
,94,11
,94,11
,94,11
,94,11
,94,11
,95,12
,95,12
,94,12
,95,12
,95,12
,95,13
,96,13
,96,13
,96,13
,96,14
,96,13
,96,13
,97,14
,96,14
,97,14
,96,14
,96,15
,96,15
,96,14
,97,15
,97,15
,97,15
,97,15
,97,16
,97,16
,97,16
,97,15
,97,16
,97,16
,97,16
,97,16
,98,16
,98,16
,98,17
,98,17
,98,17
,98,17
,98,17
,98,17
,98,17
,98,17
,99,18
,99,17
,99,18
,99,18
,99,18
,99,18
,99,18
,99,18
,100,17
,100,18
,100,18
,100,18
,100,18
,100,18
,100,19
,101,19
,100,19
,101,19
,101,20
,101,20
,101,20
,101,20
,101,20
,101,20
,101,21
,101,21
,101,21
,101,21
,101,21
,101,22
,102,22
,101,22
,102,22
,102,22
,102,22
,102,22
,102,23
,102,23
,101,22
,102,23
,102,23
,103,23
,103,23
,103,23
,103,23
,103,23
,103,24
,103,24
,103,24
,103,24
,103,24
,104,25
,104,24
,104,25
,104,25
,105,25
,105,25
,105,25
,104,25
,104,25
,105,25
,105,26
,105,26
,105,26
,105,25
,105,26
,105,26
,105,26
,105,27
,105,27
,105,27
,105,27
,106,27
,106,27
,106,27
,106,27
,106,27
,106,27
,106,26
,106,27
,106,27
,107,27
,107,28
,107,28
,107,28
,107,28
,107,28
,107,28
,107,28
,107,28
,108,29
,108,29
,108,29
,108,29
,108,29
,108,29
,108,29
,108,29
,108,29
,108,29
,109,29
,109,29
,109,30
,109,29
,109,29
,109,30
,109,30
,109,30
,109,30
,109,30
,110,30
,110,30
,110,30
,110,30
,110,31
,110,31
,110,30
,110,30
,110,31
,110,30
,110,30
,111,30
,111,31
,111,31
,111,31
,111,32
,111,32
,111,33
,112,32
,112,33
,112,33
,112,32
,112,32
,112,32
,112,32
,112,33
,112,32
,112,31
,112,31
,113,31
,113,32
,113,33
,113,33
,113,33
,112,34
,113,34
,113,33
,113,33
,113,33
,113,33
,114,34
,114,34
,113,34
,114,34
,114,34
,114,34
,114,34
,114,34
,114,34
,115,34
,115,34
,115,35
,115,35
,115,35
,115,35
,115,35
,115,35
,115,35
,115,36
,115,36
,116,36
,116,36
,116,37
,116,36
,116,36
,116,36
,116,36
,116,36
,116,37
,117,37
,116,37
,117,37
,116,37
,116,37
,116,37
,116,37
,117,37
,117,37
,117,37
,117,37
,118,38
,117,38
,117,38
,118,38
,117,38
,118,39
,118,39
,118,39
,118,38
,118,39
,119,39
,119,39
,119,39
,119,39
,119,40
,119,40
,119,40
,120,39
,119,40
,120,41
,120,41
,120,41
,120,41
,120,41
,120,42
,120,42
,120,42
,120,42
,120,42
,120,42
,121,42
,121,42
,121,43
,121,44
,121,43
,121,44
,121,44
,121,44
,121,44
,122,44
,122,44
,122,44
,122,44
,122,45
,123,45
,123,46
,122,47
,122,46
,122,47
,123,47
,123,46
,123,47
,123,47
,123,47
,123,48
,123,48
,123,48
,123,48
,123,49
,124,50
,125,50
,124,50
,124,50
,124,50
,123,49
,124,50
,124,50
,124,51
,124,50
,124,50
,125,50
,125,51
,125,51
,126,52
,126,53
,125,53
,125,53
,126,53
,125,53
,126,54
,126,54
,126,55
,126,55
,126,55
,126,55
,126,55
,126,55
,126,56
,126,56
,126,56
,128,56
,128,57
,127,57
,127,58
,127,58
,127,58
,127,59
,127,59
,127,59
,127,59
