                       Research (Cts/Temp.) Glow Curve,,
,,
File Name:        R&D-20180626TLD300 25,,
Date & Time:     10/2/2018 5:17:04 PM,,
,,
,Temperature,Counts
,33,1
,33,1
,33,1
,33,1
,33,1
,33,1
,33,1
,33,0
,33,1
,33,1
,33,1
,33,1
,33,1
,33,1
,33,1
,34,1
,35,0
,37,1
,38,0
,40,1
,42,0
,44,1
,46,0
,49,1
,50,1
,52,1
,55,1
,57,1
,60,1
,62,1
,64,1
,67,1
,68,1
,69,1
,69,1
,70,1
,70,1
,71,1
,71,1
,71,2
,71,2
,71,2
,71,2
,71,2
,72,2
,72,2
,72,2
,72,2
,72,2
,72,3
,72,3
,73,3
,73,4
,73,4
,73,4
,73,4
,73,4
,73,5
,73,5
,73,5
,74,5
,73,6
,73,6
,74,6
,74,6
,74,7
,74,7
,74,7
,75,7
,74,8
,74,8
,74,8
,74,9
,75,9
,75,9
,75,10
,75,10
,75,11
,75,11
,75,11
,76,12
,76,12
,76,12
,76,13
,76,13
,76,14
,77,14
,76,14
,77,15
,77,15
,77,15
,77,16
,78,16
,77,17
,78,17
,77,17
,77,18
,78,18
,78,18
,78,19
,78,19
,78,19
,78,20
,78,20
,78,20
,79,21
,79,21
,79,22
,79,23
,79,23
,79,23
,79,24
,79,24
,80,24
,80,25
,80,25
,80,25
,80,26
,80,25
,80,26
,80,26
,81,26
,82,27
,81,27
,82,28
,82,28
,83,29
,82,30
,82,29
,82,30
,82,31
,82,31
,81,31
,82,31
,82,32
,82,32
,82,32
,82,33
,82,33
,83,33
,83,34
,83,34
,83,35
,83,35
,83,35
,83,35
,83,36
,84,36
,84,36
,84,36
,84,36
,84,36
,84,36
,84,37
,84,38
,85,37
,85,37
,85,38
,85,39
,85,39
,85,40
,86,40
,86,40
,86,41
,86,40
,86,40
,86,41
,86,41
,85,41
,86,41
,86,42
,86,42
,87,42
,87,41
,87,42
,87,42
,88,43
,87,43
,87,43
,88,44
,88,44
,88,44
,88,44
,88,44
,88,44
,88,44
,88,45
,88,44
,88,45
,88,45
,88,45
,88,45
,89,45
,88,45
,88,45
,89,45
,89,45
,89,46
,90,45
,90,45
,90,46
,90,46
,90,46
,90,47
,91,47
,91,47
,91,47
,91,48
,91,48
,91,48
,92,48
,91,48
,91,48
,91,48
,91,48
,92,48
,91,49
,92,48
,92,49
,92,49
,93,49
,92,49
,93,49
,93,50
,93,50
,93,50
,93,50
,93,49
,93,50
,94,51
,94,50
,94,51
,94,51
,94,51
,94,51
,94,52
,94,51
,94,51
,94,51
,94,51
,95,51
,95,50
,95,51
,95,51
,95,52
,95,52
,95,52
,96,52
,97,52
,96,52
,96,52
,97,52
,97,52
,97,53
,97,53
,97,52
,97,53
,97,53
,97,53
,97,53
,97,53
,98,53
,98,53
,97,52
,98,52
,98,52
,98,52
,98,53
,98,53
,98,53
,98,52
,99,52
,99,52
,99,52
,99,53
,99,52
,99,52
,99,52
,99,52
,99,52
,100,52
,100,52
,100,53
,100,53
,101,53
,100,54
,100,54
,100,54
,100,54
,101,54
,101,54
,102,53
,102,53
,101,53
,101,54
,102,53
,102,54
,102,54
,102,54
,102,54
,102,55
,102,54
,102,53
,102,54
,102,55
,102,54
