                       Research (Cts/Temp.) Glow Curve,,
,,
File Name:        R&D-20180626TLD300 10,,
Date & Time:     10/2/2018 5:10:04 PM,,
,,
,Temperature,Counts
,31,1
,30,1
,30,0
,30,1
,30,1
,29,1
,29,0
,29,1
,29,0
,29,0
,29,0
,29,0
,29,1
,29,0
,31,1
,32,0
,34,0
,36,1
,38,0
,40,1
,42,0
,45,0
,47,0
,49,0
,51,1
,53,0
,56,1
,58,0
,60,1
,63,1
,65,1
,67,1
,68,1
,70,1
,70,1
,71,1
,71,2
,72,2
,73,2
,73,2
,74,2
,74,2
,74,3
,74,3
,75,4
,75,4
,75,5
,75,5
,76,5
,77,6
,78,7
,78,7
,78,7
,79,8
,79,9
,79,10
,80,11
,80,11
,80,12
,80,13
,81,14
,81,15
,81,16
,82,17
,82,18
,83,19
,83,20
,83,21
,84,23
,84,25
,84,27
,85,28
,85,29
,86,30
,86,32
,87,35
,87,36
,87,38
,87,39
,87,41
,88,43
,89,45
,89,48
,90,50
,90,53
,90,55
,90,57
,91,60
,91,61
,91,64
,92,66
,92,68
,93,70
,93,73
,94,77
,94,79
,94,81
,95,85
,95,87
,96,89
,96,92
,96,94
,96,96
,97,99
,97,100
,97,103
,98,105
,98,107
,98,111
,99,113
,99,116
,100,117
,100,120
,101,121
,101,124
,101,127
,102,129
,102,131
,102,135
,103,138
,103,139
,103,141
,104,142
,104,143
,105,145
,106,148
,106,149
,106,151
,107,152
,107,153
,108,154
,108,156
,108,156
,108,157
,109,158
,109,161
,110,161
,110,162
,111,162
,111,163
,111,163
,111,164
,112,165
,112,165
,112,164
,113,165
,114,166
,114,165
,114,166
,115,168
,115,168
,115,168
,116,170
,116,170
,116,170
,116,171
,117,172
,117,173
,117,173
,118,174
,118,174
,118,175
,119,174
,120,175
,120,175
,120,175
,121,175
,121,176
,121,177
,122,177
,122,177
,122,178
,122,179
,123,180
,123,180
,124,180
,125,179
,125,181
,125,179
,126,180
,126,178
,127,178
,127,180
,127,178
,128,178
,128,178
,129,177
,129,177
,129,178
,130,178
,130,180
,130,178
,131,179
,131,178
,131,177
,132,177
,132,178
,133,177
,133,177
,134,178
,134,177
,134,178
,135,179
,135,178
,135,178
,136,179
,136,181
,136,180
,137,180
,137,181
,138,184
,138,184
,138,187
,138,187
,139,189
,139,190
,140,191
,140,192
,141,194
,141,196
,141,198
,142,202
,142,203
,142,206
,142,208
,143,210
,143,213
,143,216
,144,219
,145,223
,145,228
,145,232
,146,234
,146,237
,146,241
,147,245
,147,249
,147,253
,148,259
,149,263
,149,266
,150,270
,150,276
,150,281
,150,287
,151,291
,151,295
,151,301
,151,307
,152,313
,153,319
,153,323
,153,328
,153,334
,154,337
,154,342
,155,348
,156,353
,156,358
,156,364
,156,370
,157,375
,157,376
,158,382
,158,387
,157,392
,158,397
,159,402
,159,408
,159,413
,160,416
,160,422
,161,426
,161,431
,161,438
,162,446
,163,449
,162,456
,163,463
,163,466
,164,470
,164,476
,165,480
,165,485
,166,489
,165,493
,166,498
,166,502
,167,505
,167,508
,168,510
,169,515
,169,519
,169,522
,169,527
,170,529
,170,530
,171,531
,171,534
,171,536
,172,537
,172,536
,172,536
,172,536
,172,535
,173,531
,173,531
,174,526
,174,525
,175,524
,176,524
,176,520
,176,516
,176,511
,176,506
,177,499
,177,493
,178,489
,178,482
,178,476
,179,466
,179,457
,179,449
,180,439
,180,426
,181,418
,181,406
,181,396
,182,386
,183,373
,183,363
,183,351
,184,339
,184,328
,184,316
,185,302
,185,291
,185,279
,186,268
,186,255
,187,242
,187,232
,187,220
,187,207
,188,197
,188,185
,188,176
,189,165
,189,156
,190,147
,190,139
,190,130
,191,122
,191,115
,192,108
,192,102
,192,95
,193,90
,193,85
,194,80
,194,76
,194,72
,195,69
,196,66
,196,63
,196,61
,196,60
,197,57
,197,55
,197,53
,198,52
,199,51
,198,50
,199,50
,199,48
,200,48
,200,48
,200,48
,201,48
,201,48
,202,47
,202,48
,203,48
,203,48
,204,48
