                       Research (Cts/Temp.) Glow Curve,,
,,
File Name:        R&D-TLD400ANL 17,,
Date & Time:     4/30/2018 4:48:48 PM,,
,,
,Temperature,Counts
,32,0
,32,0
,32,0
,32,0
,32,0
,32,0
,32,0
,32,0
,32,0
,32,0
,32,0
,32,0
,32,0
,32,0
,32,0
,33,0
,32,0
,32,0
,32,1
,32,0
,32,0
,32,0
,32,0
,33,0
,32,0
,33,0
,32,0
,32,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,1
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,33,0
,36,0
,35,0
,34,0
,34,0
,34,0
,33,0
,34,0
,34,0
,34,0
,34,0
,34,1
,35,0
,34,0
,34,0
,35,0
,36,0
,37,0
,38,0
,39,0
,39,0
,40,0
,40,0
,40,0
,41,0
,41,0
,41,0
,42,0
,42,0
,42,0
,43,0
,44,0
,44,0
,45,0
,46,0
,46,0
,46,0
,47,0
,47,1
,48,0
,48,0
,49,0
,49,0
,51,0
,51,0
,51,0
,51,0
,52,0
,53,0
,53,0
,54,0
,54,0
,55,0
,55,0
,56,0
,56,0
,56,0
,57,0
,57,0
,57,0
,58,0
,58,0
,59,0
,59,0
,60,1
,61,0
,61,0
,62,0
,62,0
,63,0
,63,0
,64,0
,64,0
,65,0
,65,0
,66,0
,66,0
,67,0
,68,0
,68,0
,68,0
,68,0
,69,0
,70,0
,70,0
,71,0
,72,0
,72,1
,71,0
,72,0
,73,0
,73,0
,74,0
,74,0
,75,0
,75,0
,76,0
,77,0
,77,0
,77,0
,78,0
,79,0
,79,0
,80,0
,80,0
,81,1
,81,0
,81,0
,82,0
,82,0
,82,0
,83,0
,84,0
,85,0
,85,0
,86,0
,86,0
,87,1
,87,0
,89,0
,89,0
,88,0
,88,0
,89,0
,90,0
,91,0
,91,1
,91,0
,91,0
,92,0
