                       Research (Cts/Temp.) Glow Curve,,
,,
File Name:        R&D-TLD400ANL 25,,
Date & Time:     4/30/2018 4:49:52 PM,,
,,
,Temperature,Counts
,38,0
,38,0
,37,0
,37,0
,37,0
,37,0
,37,0
,37,0
,37,1
,37,0
,37,0
,37,0
,37,0
,37,0
,37,0
,37,0
,37,0
,37,0
,37,0
,37,0
,37,0
,37,0
,38,0
,37,0
,38,0
,38,0
,37,0
,37,0
,37,1
,37,0
,38,0
,38,0
,38,0
,38,0
,38,0
,38,0
,38,0
,38,0
,37,0
,37,0
,38,0
,38,0
,38,0
,38,0
,38,0
,38,0
,38,0
,38,0
,38,0
,38,0
,38,0
,38,1
,38,0
,38,0
,38,0
,38,0
,38,0
,38,0
,38,0
,39,0
,38,0
,39,0
,39,0
,38,0
,38,0
,39,0
,39,0
,39,0
,39,0
,40,0
,40,0
,41,0
,41,0
,42,1
,42,0
,43,0
,45,0
,45,0
,45,0
,45,0
,46,0
,46,0
,46,0
,47,0
,48,0
,48,0
,49,0
,50,0
,50,0
,51,0
,51,0
,52,0
,52,0
,53,0
,54,0
,55,0
,56,0
,56,0
,56,1
,57,0
,58,0
,58,0
,59,0
,59,0
,60,0
,60,0
,61,0
,62,0
,62,0
,63,0
,63,0
,64,0
,64,0
,65,0
,66,0
,66,0
,66,0
,67,0
,68,0
,68,0
,69,1
,69,0
,70,0
,70,0
,71,0
,72,0
,72,0
,73,0
,73,0
,74,0
,75,0
,75,0
,76,0
,77,0
,77,0
,77,0
,78,0
,79,0
,79,0
,80,0
,80,0
,81,1
,82,0
,83,0
,83,0
,84,0
,84,0
,85,0
,85,0
,86,0
,86,0
,87,0
,88,0
,89,0
,90,0
,90,0
,90,0
,91,0
,91,0
,92,1
,92,0
,92,0
,93,0
,94,0
,94,0
,95,0
,96,0
,96,0
,97,0
,98,0
,98,0
,98,0
,99,1
,100,0
,100,0
,100,0
,101,0
,102,0
,102,0
,103,0
,103,0
,104,0
,105,1
,106,0
,106,0
,107,0
,107,0
,107,0
,109,0
,109,0
,110,1
,110,0
,111,0
,111,0
,111,0
,112,0
,113,1
,114,0
,114,0
,114,0
,115,0
,116,1
,116,0
,116,0
,117,0
,118,1
,118,0
,119,0
,120,0
,120,1
,121,0
,122,0
,122,0
,122,1
,123,0
,124,0
,124,1
,124,0
,125,0
,126,1
,126,0
,127,0
,128,0
,128,1
,129,0
,129,0
,131,1
,131,0
,132,0
,132,1
,132,0
,133,0
,133,1
,134,0
,135,1
,135,0
,136,0
,137,1
,137,0
,138,0
,138,1
,139,0
,139,0
,140,1
,140,0
,141,0
,141,1
,143,0
,143,0
,143,1
,144,0
,145,1
,146,0
,146,0
,147,1
,147,0
,147,1
,148,0
,149,1
,149,0
,150,0
,151,1
,151,0
,151,1
,152,0
,152,1
,154,0
,154,1
,154,0
,155,1
,156,0
,156,1
,157,0
,157,1
,157,0
,158,0
,159,1
,159,1
,160,0
,160,1
,161,0
,161,1
,162,0
,163,1
,163,0
,164,1
,164,0
,165,1
,166,1
,166,0
,168,1
,168,0
,169,1
,169,0
,170,1
,170,0
,171,1
,171,0
,172,1
,173,0
,173,1
,174,1
,174,0
,175,1
,175,0
,176,1
,176,0
,177,1
,178,0
,178,1
,179,1
,179,0
,180,1
,180,0
,181,1
,182,0
,182,1
,183,0
,184,1
,184,1
,185,0
,185,1
,186,0
,186,1
,187,0
,187,1
,188,1
,189,0
,189,1
,190,0
,191,1
,191,1
,192,0
,192,1
,192,1
,193,0
,193,1
,194,1
,195,0
,196,1
,196,1
,196,0
,197,1
,197,1
,198,1
,199,1
,199,0
,200,1
,201,1
,201,1
,202,1
,203,1
,203,1
,204,1
,205,1
,205,1
,205,1
,206,1
,207,1
,207,1
,207,1
,208,1
,209,2
,209,1
,210,1
,211,2
,211,1
,212,1
,212,2
,213,1
,214,2
,215,2
,215,1
,216,2
,216,2
,216,2
,217,1
,217,2
,217,2
,218,2
,219,3
,220,2
,221,2
,221,3
,222,2
,223,3
,223,2
,223,3
,224,3
,224,3
,225,3
,225,3
,226,3
,226,3
,227,4
,228,3
,228,4
,229,4
,230,4
,230,4
,231,4
,231,4
,232,5
,232,4
,233,5
,233,5
,234,5
,235,5
,235,5
,236,6
,236,5
,237,7
,237,5
,238,7
,239,6
,239,7
,240,7
,240,7
,241,8
,242,7
,243,8
,243,8
,244,9
,244,8
,244,9
,245,9
,246,10
,246,9
,247,10
,247,10
,248,11
,249,11
,249,11
,250,12
,250,12
,250,12
,251,13
,252,13
,252,14
,253,13
,254,15
,254,15
,255,15
,256,16
,256,16
,257,16
,257,17
,257,18
,258,18
,258,18
,260,19
,260,20
,261,20
,262,22
,262,21
,263,22
,264,23
,264,24
,264,24
,265,25
,265,25
,266,26
,267,27
,267,28
,268,28
,268,29
,269,30
,269,31
,270,31
,271,32
,271,33
,272,34
,273,35
,273,35
,274,36
,274,38
,275,37
,275,40
,276,39
,276,40
,277,42
,277,43
,277,44
,278,43
,279,45
,280,46
,280,47
,281,48
,281,49
,282,49
,283,50
,283,51
,284,51
,284,53
,285,53
,286,55
,286,54
,287,57
,287,56
,288,56
,289,59
,289,59
,290,59
,290,60
,291,61
,291,60
,292,63
,293,61
,293,64
,294,62
,294,65
,295,65
,295,64
,296,66
,297,66
,297,66
,298,67
,298,66
,299,69
,299,67
,300,68
,301,68
,301,69
,302,68
,302,68
,302,69
,303,68
,303,70
,304,68
,305,68
,305,70
,306,69
,307,69
,307,70
,307,69
,308,69
,309,69
,309,69
,310,70
,311,70
,311,69
,312,70
,312,71
,313,69
,314,70
,314,70
,315,69
,315,70
,315,70
,316,70
,317,69
,317,70
,318,70
,318,70
,319,70
,319,70
,320,70
,321,71
,321,70
,322,71
,323,69
,323,72
,324,70
