                       Research (Cts/Temp.) Glow Curve,,,,
Sampling Rate is  10 Data Points per Second,,,,
,,,,
File Name:        R&D-061519-jeremy-differentdoses 4,,,,
Date & Time:     6/15/2019 6:03:04 PM,,,,
,,,,
Sample No.,Barcode,Time ( .1s),Temperature,
Counts,,,,
4,N1034   ,0,28,0
4,N1034   ,0.1,29.67,0
4,N1034   ,0.2,30.78,0
4,N1034   ,0.3,31.52,0
4,N1034   ,0.4,32.01,1
4,N1034   ,0.5,32.34,0
4,N1034   ,0.6,32.89,0
4,N1034   ,0.7,32.93,0
4,N1034   ,0.8,32.95,1
4,N1034   ,0.9,32.97,0
4,N1034   ,1,33.31,0
4,N1034   ,1.1,33.21,0
4,N1034   ,1.2,32.81,0
4,N1034   ,1.3,32.87,1
4,N1034   ,1.4,32.91,0
4,N1034   ,1.5,33.28,0
4,N1034   ,1.6,32.85,0
4,N1034   ,1.7,32.9,0
4,N1034   ,1.8,32.93,0
4,N1034   ,1.9,32.62,1
4,N1034   ,2,32.75,0
4,N1034   ,2.1,32.83,0
4,N1034   ,2.2,32.89,1
4,N1034   ,2.3,32.59,0
4,N1034   ,2.4,32.73,0
4,N1034   ,2.5,32.82,0
4,N1034   ,2.6,32.88,0
4,N1034   ,2.7,33.25,1
4,N1034   ,2.8,33.17,0
4,N1034   ,2.9,33.11,0
4,N1034   ,3,32.74,1
4,N1034   ,3.1,32.83,0
4,N1034   ,3.2,32.89,0
4,N1034   ,3.3,32.92,0
4,N1034   ,3.4,32.95,0
4,N1034   ,3.5,33.3,0
4,N1034   ,3.6,33.2,0
4,N1034   ,3.7,33.13,1
4,N1034   ,3.8,33.42,0
4,N1034   ,3.9,33.28,0
4,N1034   ,4,33.19,0
4,N1034   ,4.1,33.13,0
4,N1034   ,4.2,33.08,1
4,N1034   ,4.3,33.39,0
4,N1034   ,4.4,33.93,0
4,N1034   ,4.5,35.28,0
4,N1034   ,4.6,35.52,0
4,N1034   ,4.7,36.35,0
4,N1034   ,4.8,36.9,1
4,N1034   ,4.9,37.93,0
4,N1034   ,5,38.96,0
4,N1034   ,5.1,39.64,0
4,N1034   ,5.2,40.09,0
4,N1034   ,5.3,40.39,1
4,N1034   ,5.4,40.6,0
4,N1034   ,5.5,40.73,0
4,N1034   ,5.6,40.82,0
4,N1034   ,5.7,40.55,1
4,N1034   ,5.8,40.7,0
4,N1034   ,5.9,41.13,0
4,N1034   ,6,41.42,0
4,N1034   ,6.1,41.61,0
4,N1034   ,6.2,41.74,0
4,N1034   ,6.3,41.5,1
4,N1034   ,6.4,41.66,0
4,N1034   ,6.5,41.78,0
4,N1034   ,6.6,42.18,0
4,N1034   ,6.7,42.46,0
4,N1034   ,6.8,42.97,1
4,N1034   ,6.9,43.31,0
4,N1034   ,7,43.21,0
4,N1034   ,7.1,43.14,0
4,N1034   ,7.2,43.09,0
4,N1034   ,7.3,43.06,0
4,N1034   ,7.4,43.04,1
4,N1034   ,7.5,43.69,0
4,N1034   ,7.6,43.8,0
4,N1034   ,7.7,43.86,0
4,N1034   ,7.8,43.91,1
4,N1034   ,7.9,43.94,0
4,N1034   ,8,43.96,0
4,N1034   ,8.1,44.31,0
4,N1034   ,8.2,44.2,0
4,N1034   ,8.3,44.47,0
4,N1034   ,8.4,44.31,1
4,N1034   ,8.5,44.88,0
4,N1034   ,8.6,45.25,0
4,N1034   ,8.7,45.17,0
4,N1034   ,8.8,45.11,1
4,N1034   ,8.9,45.41,0
4,N1034   ,9,45.6,0
4,N1034   ,9.1,45.4,0
4,N1034   ,9.2,44.94,0
4,N1034   ,9.3,44.96,1
4,N1034   ,9.4,45.64,0
4,N1034   ,9.5,45.76,0
4,N1034   ,9.6,45.84,0
4,N1034   ,9.7,46.23,0
4,N1034   ,9.8,46.15,1
4,N1034   ,9.9,46.43,0
4,N1034   ,10,46.62,0
4,N1034   ,10.1,46.75,1
4,N1034   ,10.2,46.83,0
4,N1034   ,10.3,46.89,0
4,N1034   ,10.4,46.93,0
4,N1034   ,10.5,46.95,0
4,N1034   ,10.6,46.97,1
4,N1034   ,10.7,46.98,0
4,N1034   ,10.8,46.99,0
4,N1034   ,10.9,47.32,0
4,N1034   ,11,47.55,1
4,N1034   ,11.1,47.7,0
4,N1034   ,11.2,48.13,0
4,N1034   ,11.3,47.76,0
4,N1034   ,11.4,47.84,1
4,N1034   ,11.5,48.22,0
4,N1034   ,11.6,48.15,0
4,N1034   ,11.7,48.43,0
4,N1034   ,11.8,48.62,1
4,N1034   ,11.9,48.75,0
4,N1034   ,12,49.17,0
4,N1034   ,12.1,49.11,0
