                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  10 Data Points per Second

File Name:        R&D-061519-jeremy-differentdoses 50
Date & Time:     6/15/2019 6:03:07 PM

Sample No.,Barcode,Time ( .1s),Temperature,
Counts
 50 ,N1055   , 0 ,35.00,1
 50 ,N1055   , 0.1 ,34.33,0
 50 ,N1055   , 0.2 ,33.89,0
 50 ,N1055   , 0.3 ,33.59,1
 50 ,N1055   , 0.4 ,33.40,0
 50 ,N1055   , 0.5 ,33.26,0
 50 ,N1055   , 0.6 ,33.51,0
 50 ,N1055   , 0.7 ,33.34,1
 50 ,N1055   , 0.8 ,33.23,0
 50 ,N1055   , 0.9 ,33.15,1
 50 ,N1055   , 1 ,33.43,0
 50 ,N1055   , 1.1 ,33.29,0
 50 ,N1055   , 1.2 ,32.86,1
 50 ,N1055   , 1.3 ,32.91,0
 50 ,N1055   , 1.4 ,32.94,0
 50 ,N1055   , 1.5 ,33.29,1
 50 ,N1055   , 1.6 ,32.86,0
 50 ,N1055   , 1.7 ,32.91,1
 50 ,N1055   , 1.8 ,32.94,0
 50 ,N1055   , 1.9 ,32.63,0
 50 ,N1055   , 2 ,32.75,1
 50 ,N1055   , 2.1 ,32.83,0
 50 ,N1055   , 2.2 ,32.89,0
 50 ,N1055   , 2.3 ,32.59,1
 50 ,N1055   , 2.4 ,32.73,0
 50 ,N1055   , 2.5 ,32.82,0
 50 ,N1055   , 2.6 ,32.88,1
 50 ,N1055   , 2.7 ,33.25,0
 50 ,N1055   , 2.8 ,33.17,0
 50 ,N1055   , 2.9 ,33.11,0
 50 ,N1055   , 3 ,32.74,1
 50 ,N1055   , 3.1 ,32.83,0
 50 ,N1055   , 3.2 ,32.89,1
 50 ,N1055   , 3.3 ,32.92,0
 50 ,N1055   , 3.4 ,32.95,0
 50 ,N1055   , 3.5 ,33.30,0
 50 ,N1055   , 3.6 ,33.20,1
 50 ,N1055   , 3.7 ,33.13,0
 50 ,N1055   , 3.8 ,33.42,1
 50 ,N1055   , 3.9 ,33.28,0
 50 ,N1055   , 4 ,33.19,0
 50 ,N1055   , 4.1 ,33.13,0
 50 ,N1055   , 4.2 ,33.08,1
 50 ,N1055   , 4.3 ,33.39,0
 50 ,N1055   , 4.4 ,33.93,0
 50 ,N1055   , 4.5 ,35.28,1
 50 ,N1055   , 4.6 ,35.52,0
 50 ,N1055   , 4.7 ,36.35,1
 50 ,N1055   , 4.8 ,36.90,0
 50 ,N1055   , 4.9 ,37.93,0
 50 ,N1055   , 5 ,38.96,1
 50 ,N1055   , 5.1 ,39.64,0
 50 ,N1055   , 5.2 ,40.09,0
 50 ,N1055   , 5.3 ,40.39,1
 50 ,N1055   , 5.4 ,40.60,0
 50 ,N1055   , 5.5 ,40.73,0
 50 ,N1055   , 5.6 ,40.82,1
 50 ,N1055   , 5.7 ,40.55,0
 50 ,N1055   , 5.8 ,40.70,0
 50 ,N1055   , 5.9 ,41.13,0
 50 ,N1055   , 6 ,41.42,1
 50 ,N1055   , 6.1 ,41.61,0
 50 ,N1055   , 6.2 ,41.74,1
 50 ,N1055   , 6.3 ,41.50,0
 50 ,N1055   , 6.4 ,41.66,1
 50 ,N1055   , 6.5 ,41.78,0
 50 ,N1055   , 6.6 ,42.18,0
 50 ,N1055   , 6.7 ,42.46,1
 50 ,N1055   , 6.8 ,42.97,0
 50 ,N1055   , 6.9 ,43.31,0
 50 ,N1055   , 7 ,43.21,1
 50 ,N1055   , 7.1 ,43.14,0
 50 ,N1055   , 7.2 ,43.09,0
 50 ,N1055   , 7.3 ,43.06,1
 50 ,N1055   , 7.4 ,43.04,0
 50 ,N1055   , 7.5 ,43.69,0
 50 ,N1055   , 7.6 ,43.80,1
 50 ,N1055   , 7.7 ,43.86,0
 50 ,N1055   , 7.8 ,43.91,0
 50 ,N1055   , 7.9 ,43.94,1
 50 ,N1055   , 8 ,43.96,0
 50 ,N1055   , 8.1 ,44.31,1
 50 ,N1055   , 8.2 ,44.20,0
 50 ,N1055   , 8.3 ,44.47,1
 50 ,N1055   , 8.4 ,44.31,0
 50 ,N1055   , 8.5 ,44.88,1
 50 ,N1055   , 8.6 ,45.25,0
 50 ,N1055   , 8.7 ,45.17,0
 50 ,N1055   , 8.8 ,45.11,1
 50 ,N1055   , 8.9 ,45.41,0
 50 ,N1055   , 9 ,45.60,0
 50 ,N1055   , 9.1 ,45.40,1
 50 ,N1055   , 9.2 ,44.94,1
 50 ,N1055   , 9.3 ,44.96,0
 50 ,N1055   , 9.4 ,45.64,1
 50 ,N1055   , 9.5 ,45.76,0
 50 ,N1055   , 9.6 ,45.84,0
 50 ,N1055   , 9.7 ,46.23,0
 50 ,N1055   , 9.8 ,46.15,1
 50 ,N1055   , 9.9 ,46.43,0
 50 ,N1055   , 10 ,46.62,0
 50 ,N1055   , 10.1 ,46.75,1
 50 ,N1055   , 10.2 ,46.83,0
 50 ,N1055   , 10.3 ,46.89,1
 50 ,N1055   , 10.4 ,46.93,0
 50 ,N1055   , 10.5 ,46.95,1
 50 ,N1055   , 10.6 ,46.97,0
 50 ,N1055   , 10.7 ,46.98,0
 50 ,N1055   , 10.8 ,46.99,0
 50 ,N1055   , 10.9 ,47.32,1
 50 ,N1055   , 11 ,47.55,0
 50 ,N1055   , 11.1 ,47.70,0
 50 ,N1055   , 11.2 ,48.13,1
 50 ,N1055   , 11.3 ,47.76,0
 50 ,N1055   , 11.4 ,47.84,1
 50 ,N1055   , 11.5 ,48.22,0
 50 ,N1055   , 11.6 ,48.15,0
 50 ,N1055   , 11.7 ,48.43,0
 50 ,N1055   , 11.8 ,48.62,1
 50 ,N1055   , 11.9 ,48.75,0
 50 ,N1055   , 12 ,49.17,0
 50 ,N1055   , 12.1 ,49.11,1
 50 ,N1055   , 12.2 ,50.07,0
 50 ,N1055   , 12.3 ,49.72,1
 50 ,N1055   , 12.4 ,49.48,0
 50 ,N1055   , 12.5 ,49.32,0
 50 ,N1055   , 12.6 ,49.55,1
 50 ,N1055   , 12.7 ,50.03,1
 50 ,N1055   , 12.8 ,50.35,0
 50 ,N1055   , 12.9 ,50.57,0
 50 ,N1055   , 13 ,51.05,1
 50 ,N1055   , 13.1 ,51.36,0
 50 ,N1055   , 13.2 ,51.24,0
 50 ,N1055   , 13.3 ,51.16,0
 50 ,N1055   , 13.4 ,51.11,1
 50 ,N1055   , 13.5 ,51.41,0
 50 ,N1055   , 13.6 ,51.27,1
 50 ,N1055   , 13.7 ,51.51,0
 50 ,N1055   , 13.8 ,51.68,0
 50 ,N1055   , 13.9 ,51.45,1
 50 ,N1055   , 14 ,51.30,0
 50 ,N1055   , 14.1 ,51.20,0
 50 ,N1055   , 14.2 ,51.47,1
 50 ,N1055   , 14.3 ,51.98,0
 50 ,N1055   , 14.4 ,51.99,0
 50 ,N1055   , 14.5 ,52.66,1
