                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  2 Data Points per Second

File Name:        R&D-033019-jackT-group4-2 2
Date & Time:     3/30/2019 2:20:52 PM

Sample No.,Barcode,Time ( .5s),Temperature,
Counts
 2 ,N1124   , 0 ,33.00,3
 2 ,N1124   , 0.5 ,33.33,2
 2 ,N1124   , 1 ,33.22,1
 2 ,N1124   , 1.5 ,33.48,2
 2 ,N1124   , 2 ,33.32,2
 2 ,N1124   , 2.5 ,33.21,1
 2 ,N1124   , 3 ,33.48,2
 2 ,N1124   , 3.5 ,33.32,2
 2 ,N1124   , 4 ,33.21,1
 2 ,N1124   , 4.5 ,34.47,2
 2 ,N1124   , 5 ,36.32,2
 2 ,N1124   , 5.5 ,37.88,2
 2 ,N1124   , 6 ,38.92,1
 2 ,N1124   , 6.5 ,39.95,2
 2 ,N1124   , 7 ,40.30,2
 2 ,N1124   , 7.5 ,40.86,2
 2 ,N1124   , 8 ,41.91,2
 2 ,N1124   , 8.5 ,42.61,1
 2 ,N1124   , 9 ,43.07,2
 2 ,N1124   , 9.5 ,43.38,2
 2 ,N1124   , 10 ,43.92,1
 2 ,N1124   , 10.5 ,44.28,2
 2 ,N1124   , 11 ,44.19,3
 2 ,N1124   , 11.5 ,44.46,1
 2 ,N1124   , 12 ,44.97,2
 2 ,N1124   , 12.5 ,45.31,1
 2 ,N1124   , 13 ,45.88,2
 2 ,N1124   , 13.5 ,45.92,2
 2 ,N1124   , 14 ,45.95,1
 2 ,N1124   , 14.5 ,46.96,1
 2 ,N1124   , 15 ,47.31,2
 2 ,N1124   , 15.5 ,47.21,1
 2 ,N1124   , 16 ,47.80,2
 2 ,N1124   , 16.5 ,48.20,2
 2 ,N1124   , 17 ,48.14,2
 2 ,N1124   , 17.5 ,49.09,2
 2 ,N1124   , 18 ,49.73,1
 2 ,N1124   , 18.5 ,50.15,2
 2 ,N1124   , 19 ,50.77,1
 2 ,N1124   , 19.5 ,51.18,2
 2 ,N1124   , 20 ,51.45,1
 2 ,N1124   , 20.5 ,51.97,1
 2 ,N1124   , 21 ,51.98,1
 2 ,N1124   , 21.5 ,52.65,2
 2 ,N1124   , 22 ,52.77,2
 2 ,N1124   , 22.5 ,52.85,2
 2 ,N1124   , 23 ,53.23,1
 2 ,N1124   , 23.5 ,53.82,2
 2 ,N1124   , 24 ,54.21,1
 2 ,N1124   , 24.5 ,54.48,2
 2 ,N1124   , 25 ,54.65,1
 2 ,N1124   , 25.5 ,55.43,3
 2 ,N1124   , 26 ,55.96,1
 2 ,N1124   , 26.5 ,55.64,2
 2 ,N1124   , 27 ,56.09,1
 2 ,N1124   , 27.5 ,56.39,2
 2 ,N1124   , 28 ,56.93,2
 2 ,N1124   , 28.5 ,57.29,2
 2 ,N1124   , 29 ,57.19,1
 2 ,N1124   , 29.5 ,57.79,3
 2 ,N1124   , 30 ,57.86,2
 2 ,N1124   , 30.5 ,58.24,1
 2 ,N1124   , 31 ,58.49,2
 2 ,N1124   , 31.5 ,59.00,2
 2 ,N1124   , 32 ,60.00,2
 2 ,N1124   , 32.5 ,60.33,1
 2 ,N1124   , 33 ,60.89,2
 2 ,N1124   , 33.5 ,61.26,3
 2 ,N1124   , 34 ,61.84,1
 2 ,N1124   , 34.5 ,61.89,2
 2 ,N1124   , 35 ,62.26,2
 2 ,N1124   , 35.5 ,62.51,1
 2 ,N1124   , 36 ,62.01,2
 2 ,N1124   , 36.5 ,62.34,3
 2 ,N1124   , 37 ,62.89,1
 2 ,N1124   , 37.5 ,63.26,2
 2 ,N1124   , 38 ,63.84,1
 2 ,N1124   , 38.5 ,64.23,2
 2 ,N1124   , 39 ,64.48,2
 2 ,N1124   , 39.5 ,64.99,3
 2 ,N1124   , 40 ,65.33,1
 2 ,N1124   , 40.5 ,66.22,3
 2 ,N1124   , 41 ,66.48,2
 2 ,N1124   , 41.5 ,67.32,1
 2 ,N1124   , 42 ,67.55,2
 2 ,N1124   , 42.5 ,67.70,1
 2 ,N1124   , 43 ,67.80,3
 2 ,N1124   , 43.5 ,68.20,2
 2 ,N1124   , 44 ,68.80,2
 2 ,N1124   , 44.5 ,69.87,2
 2 ,N1124   , 45 ,69.91,3
 2 ,N1124   , 45.5 ,69.94,2
 2 ,N1124   , 46 ,70.29,1
 2 ,N1124   , 46.5 ,70.86,2
 2 ,N1124   , 47 ,71.24,2
 2 ,N1124   , 47.5 ,71.16,1
 2 ,N1124   , 48 ,71.11,3
 2 ,N1124   , 48.5 ,71.40,3
 2 ,N1124   , 49 ,71.60,2
 2 ,N1124   , 49.5 ,72.07,3
 2 ,N1124   , 50 ,72.71,2
 2 ,N1124   , 50.5 ,73.48,2
 2 ,N1124   , 51 ,73.98,2
 2 ,N1124   , 51.5 ,73.99,3
 2 ,N1124   , 52 ,73.99,1
 2 ,N1124   , 52.5 ,74.66,2
 2 ,N1124   , 53 ,75.11,3
 2 ,N1124   , 53.5 ,75.74,2
 2 ,N1124   , 54 ,76.16,4
 2 ,N1124   , 54.5 ,76.44,2
 2 ,N1124   , 55 ,76.63,2
 2 ,N1124   , 55.5 ,76.75,3
 2 ,N1124   , 56 ,77.50,3
 2 ,N1124   , 56.5 ,78.00,2
 2 ,N1124   , 57 ,78.33,3
 2 ,N1124   , 57.5 ,78.22,3
 2 ,N1124   , 58 ,78.48,2
 2 ,N1124   , 58.5 ,78.65,2
 2 ,N1124   , 59 ,79.10,3
 2 ,N1124   , 59.5 ,79.40,3
 2 ,N1124   , 60 ,79.60,3
 2 ,N1124   , 60.5 ,80.40,3
 2 ,N1124   , 61 ,81.93,2
 2 ,N1124   , 61.5 ,81.96,3
 2 ,N1124   , 62 ,82.30,3
 2 ,N1124   , 62.5 ,82.87,3
 2 ,N1124   , 63 ,82.91,4
