                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  2 Data Points per Second

File Name:        R&D-033019-jackT-group4 7
Date & Time:     3/30/2019 2:00:08 PM

Sample No.,Barcode,Time ( .5s),Temperature,
Counts
 7 ,N1049   , 0 ,33.00,2
 7 ,N1049   , 0.5 ,31.00,2
 7 ,N1049   , 1 ,29.33,1
 7 ,N1049   , 1.5 ,27.56,2
 7 ,N1049   , 2 ,27.04,2
 7 ,N1049   , 2.5 ,26.02,1
 7 ,N1049   , 3 ,26.02,2
 7 ,N1049   , 3.5 ,27.01,2
 7 ,N1049   , 4 ,29.01,1
 7 ,N1049   , 4.5 ,31.34,2
 7 ,N1049   , 5 ,34.23,1
 7 ,N1049   , 5.5 ,36.82,2
 7 ,N1049   , 6 ,38.21,2
 7 ,N1049   , 6.5 ,39.14,1
 7 ,N1049   , 7 ,40.43,1
 7 ,N1049   , 7.5 ,41.28,2
 7 ,N1049   , 8 ,42.19,1
 7 ,N1049   , 8.5 ,42.46,2
 7 ,N1049   , 9 ,42.97,1
 7 ,N1049   , 9.5 ,42.98,1
 7 ,N1049   , 10 ,43.99,2
 7 ,N1049   , 10.5 ,44.33,1
 7 ,N1049   , 11 ,45.22,1
 7 ,N1049   , 11.5 ,45.14,2
 7 ,N1049   , 12 ,45.10,1
 7 ,N1049   , 12.5 ,45.40,1
 7 ,N1049   , 13 ,45.27,1
 7 ,N1049   , 13.5 ,46.18,2
 7 ,N1049   , 14 ,46.12,1
 7 ,N1049   , 14.5 ,46.75,2
 7 ,N1049   , 15 ,47.50,1
 7 ,N1049   , 15.5 ,48.00,1
 7 ,N1049   , 16 ,48.33,1
 7 ,N1049   , 16.5 ,48.89,1
 7 ,N1049   , 17 ,48.26,2
 7 ,N1049   , 17.5 ,48.17,2
 7 ,N1049   , 18 ,48.78,1
 7 ,N1049   , 18.5 ,49.19,1
 7 ,N1049   , 19 ,50.13,1
 7 ,N1049   , 19.5 ,50.75,2
 7 ,N1049   , 20 ,51.17,2
 7 ,N1049   , 20.5 ,51.78,1
