barcode,temp,Count
N1084   ,29.0,1.2145491502812522
N1084   ,28.0,1.2270491502812522
N1084   ,26.67,1.2597745751406257
N1084   ,26.44,1.3002254248593732
N1084   ,25.63,1.3329508497187468
N1084   ,25.75,1.345450849718747
N1084   ,26.84,1.3329508497187466
N1084   ,28.89,1.3002254248593732
N1084   ,31.26,1.2597745751406257
N1084   ,34.17,1.2270491502812522
N1084   ,36.78,1.2145491502812522
N1084   ,38.19,1.2270491502812522
N1084   ,39.13,1.2597745751406257
N1084   ,40.42,1.300225424859373
N1084   ,41.28,1.3333155948031226
N1084   ,42.19,1.3473606797749975
N1084   ,42.46,1.3374467844093691
N1084   ,42.97,1.3060410196624965
N1084   ,42.98,1.262188470506254
N1084   ,43.99,1.2195491502812523
N1084   ,44.32,1.193090169943749
N1084   ,45.22,1.1942376207875067
N1084   ,45.14,1.226372875703131
N1084   ,45.1,1.2831762745781203
N1084   ,45.4,1.3502254248593732
N1084   ,45.26,1.4099138953656278
N1084   ,46.18,1.44876644452187
N1084   ,46.12,1.4623074641843667
N1084   ,46.75,1.453905764746872
N1084   ,47.5,1.430225424859373
N1084   ,48.0,1.3969959346906216
N1084   ,48.33,1.357725424859373
N1084   ,48.89,1.3158688103937533
N1084   ,48.26,1.27755321559063
N1084   ,48.17,1.2526393202250015
N1084   ,48.78,1.2520491502812519
N1084   ,49.19,1.280868810393753
N1084   ,50.13,1.3327254248593734
N1084   ,50.75,1.3908155948031222
N1084   ,51.17,1.4346352549156236
N1084   ,51.78,1.4493566144656196
N1084   ,51.52,1.4329508497187469
N1084   ,52.01,1.3959549150281245
N1084   ,52.34,1.3550861046343712
N1084   ,52.56,1.3247745751406257
N1084   ,53.04,1.3113728757031309
N1084   ,53.36,1.3134549150281247
N1084   ,54.24,1.3255901699437491
N1084   ,54.49,1.3414589803375025
N1084   ,55.0,1.3558155948031225
N1084   ,55.66,1.3650861046343712
N1084   ,56.44,1.3669098300562499
N1084   ,56.3,1.3609549150281248
N1084   ,56.86,1.3499999999999992
N1084   ,56.91,1.3390450849718745
N1084   ,57.94,1.3323606797749974
N1084   ,57.96,1.3299999999999992
N1084   ,57.97,1.3272745751406256
N1084   ,57.98,1.3186803398874984
N1084   ,58.32,1.302864745084375
N1084   ,58.55,1.284549150281252
N1084   ,59.03,1.2724999999999995
N1084   ,59.35,1.27440983005625
N1084   ,59.24,1.2916844051968763
N1084   ,59.82,1.3180901699437488
N1084   ,60.22,1.3434549150281248
N1084   ,60.14,1.35940983005625
N1084   ,60.76,1.3631762745781204
N1084   ,60.84,1.357725424859373
N1084   ,61.23,1.3485942352531266
N1084   ,61.49,1.3404508497187468
N1084   ,61.99,1.335590169943749
N1084   ,62.66,1.3337335554781289
N1084   ,63.11,1.3329508497187466
N1084   ,64.07,1.331770509831248
N1084   ,64.38,1.3315121959281329
N1084   ,64.25,1.3376393202250014
N1084   ,65.17,1.3585410196624963
N1084   ,65.45,1.4007827057593818
N1084   ,65.96,1.4639589803375024
N1084   ,66.64,1.5381230589874897
N1084   ,66.76,1.6047213595499952
N1084   ,67.51,1.642864745084375
N1084   ,67.67,1.6395820393249934
N1084   ,67.78,1.5970820393249932
N1084   ,68.19,1.5319098300562501
N1084   ,68.79,1.467413895365628
N1084   ,68.53,1.4239589803375026
N1084   ,68.69,1.412413895365628
N1084   ,69.12,1.4336474508437573
N1084   ,69.42,1.4828318560406342
N1084   ,69.94,1.5555040653093775
N1084   ,70.63,1.6503647450843753
N1084   ,71.75,1.7658688103937532
N1084   ,72.17,1.894131189606246
N1084   ,72.45,2.017393568818738
N1084   ,72.63,2.1105369543531176
N1084   ,72.42,2.151041019662496
N1084   ,72.28,2.131352549156241
N1084   ,72.85,2.0649467844093685
N1084   ,73.57,1.9814589803375022
N1084   ,73.71,1.913733555478129
N1084   ,74.14,1.8838196601125006
N1084   ,73.76,1.8949138953656277
N1084   ,73.84,1.9329179606750058
N1084   ,74.23,1.9763196601125002
N1084   ,74.48,2.00817627457812
N1084   ,74.66,2.022360679774997
N1084   ,75.44,2.0221352549156233
N1084   ,75.96,2.014860679774997
N1084   ,76.97,2.007499999999999
N1084   ,76.98,2.0049138953656276
N1084   ,77.32,2.0105040653093775
N1084   ,77.88,2.0276393202250014
N1084   ,78.25,2.0595491502812515
N1084   ,78.84,2.107274575140625
N1084   ,78.89,2.167864745084375
N1084   ,79.26,2.234774575140625
N1084   ,80.17,2.2998606797749965
N1084   ,80.45,2.356041019662496
N1084   ,80.97,2.3994098300562494
N1084   ,80.98,2.429495934690621
N1084   ,81.65,2.448401699437494
N1084   ,82.1,2.459913895365627
N1084   ,82.73,2.469688470506254
N1084   ,83.16,2.4854508497187466
N1084   ,83.44,2.51440983005625
N1084   ,83.96,2.5590983005625048
N1084   ,84.31,2.6155901699437485
N1084   ,84.87,2.675086104634371
N1084   ,84.91,2.727864745084375
N1084   ,85.28,2.7682294901687503
N1084   ,85.52,2.797360679774997
N1084   ,85.68,2.8223606797749974
N1084   ,87.45,2.8520491502812515
N1084   ,87.3,2.892049150281252
N1084   ,87.53,2.9427254248593724
N1084   ,87.69,2.999999999999999
N1084   ,87.46,3.0572745751406254
N1084   ,88.31,3.108680339887498
N1084   ,88.54,3.1528647450843748
N1084   ,88.36,3.1949138953656275
N1084   ,88.57,3.2458688103937527
N1084   ,89.05,3.319098300562504
N1084   ,89.7,3.423958980337502
N1084   ,89.8,3.5603647450843745
N1084   ,90.2,3.717413895365627
N1084   ,90.47,3.877499999999998
N1084   ,90.64,4.023991869381243
N1084   ,90.76,4.1469959346906204
N1084   ,90.84,4.244495934690621
N1084   ,91.23,4.320536954353117
N1084   ,91.49,4.382135254915622
N1084   ,91.99,4.437778640450001
N1084   ,91.99,4.4980040653093765
N1084   ,92.33,4.574549150281251
N1084   ,92.55,4.677188470506252
N1084   ,93.04,4.809688470506252
N1084   ,93.36,4.966545084971873
N1084   ,94.57,5.133905764746871
N1084   ,94.38,5.295868810393752
N1084   ,94.92,5.441909830056249
N1084   ,95.61,5.570987804071864
N1084   ,96.08,5.689999999999999
N1084   ,96.72,5.80828270575938
N1084   ,96.81,5.933541019662496
N1084   ,97.54,6.070954915028123
N1084   ,97.69,6.223561346209384
N1084   ,98.13,6.39322949016875
N1084   ,97.75,6.581041019662494
N1084   ,98.5,6.785053215590628
N1084   ,98.67,6.996995934690618
N1084   ,99.45,7.201803398874986
N1084   ,99.96,7.381909830056248
N1084   ,99.98,7.52522542485937
N1084   ,100.65,7.631803398874986
N1084   ,101.1,7.714774575140623
N1084   ,101.73,7.796286771068758
N1084   ,102.49,7.899999999999998
N1084   ,102.66,8.041545084971872
N1084   ,102.77,8.222241686096883
N1084   ,103.52,8.431147450843756
N1084   ,104.01,8.652950849718746
N1084   ,102.67,8.875086104634368
N1084   ,103.12,9.089409830056246
N1084   ,104.41,9.289721359549992
N1084   ,105.27,9.470032889043738
N1084   ,105.18,9.625086104634367
N1084   ,105.12,9.753229490168746
N1084   ,106.08,9.860590169943746
N1084   ,105.72,9.961041019662494
N1084   ,106.48,10.067811529493742
N1084   ,106.99,10.182221359549992
N1084   ,107.32,10.289131189606243
N1084   ,107.55,10.363123058987485
N1084   ,107.7,10.381803398874984
N1084   ,108.13,10.337586104634369
N1084   ,108.09,10.241856614465616
N1084   ,108.39,10.120536954353113
N1084   ,108.6,10.004237620787505
N1084   ,109.73,9.918196601125006
N1084   ,110.15,9.876319660112497
N1084   ,110.1,9.879463045646876
N1084   ,110.73,9.915782705759376
N1084   ,111.16,9.963852549156236
N1084   ,111.44,9.999356614465617
N1084   ,111.63,10.004463045646876
N1084   ,112.42,9.976266444521865
N1084   ,112.94,9.927897634128112
N1084   ,113.3,9.879323725421873
N1084   ,113.86,9.84477457514062
N1084   ,113.91,9.824946784409363
N1084   ,114.61,9.806405764746867
N1084   ,115.07,9.768541019662491
N1084   ,115.38,9.694356614465615
N1084   ,115.92,9.57913118960624
N1084   ,117.28,9.432446784409366
N1084   ,117.19,9.273090169943746
N1084   ,117.46,9.121876941012507
N1084   ,117.31,8.996963045646876
N1084   ,117.87,8.90963525491562
N1084   ,118.25,8.860053215590627
N1084   ,118.16,8.837102365871878
N1084   ,119.11,8.823176274578119
N1084   ,119.07,8.80149186938124
N1084   ,119.38,8.762917960675003
N1084   ,119.92,8.709913895365624
N1084   ,119.95,8.656631189606243
N1084   ,120.63,8.624376941012507
N1084   ,121.09,8.633839986659389
N1084   ,121.06,8.698733555478126
N1084   ,121.71,8.822692535815628
N1084   ,122.14,8.998700666434383
N1084   ,122.42,9.21095491502812
N1084   ,122.28,9.438766444521866
N1084   ,122.19,9.662188470506251
N1084   ,122.13,9.868819660112496
N1084   ,123.08,10.058401699437491
N1084   ,123.39,10.241684405196873
N1084   ,123.59,10.433733555478128
N1084   ,124.4,10.644495934690621
N1084   ,124.6,10.872360679774994
N1084   ,125.4,11.104549150281251
N1084   ,125.93,11.32390576474687
N1084   ,125.95,11.519131189606242
N1084   ,125.97,11.692049150281248
N1084   ,125.98,11.857274575140623
N1084   ,126.32,12.035729490168748
N1084   ,126.88,12.24592202598438
N1084   ,127.92,12.497327790731251
N1084   ,128.61,12.789323725421875
N1084   ,128.74,13.114012195928128
N1084   ,129.16,13.459409830056247
N1084   ,129.44,13.810987804071862
N1084   ,130.29,14.15213525491562
N1084   ,130.86,14.46713525491562
N1084   ,131.24,14.746803398874983
N1084   ,131.49,14.99295084971874
N1084   ,132.0,15.219967110956253
N1084   ,132.33,15.453143385534375
N1084   ,132.55,15.722553215590624
N1084   ,132.7,16.05420473174376
N1084   ,132.47,16.462659646771886
N1084   ,132.65,16.948786771068754
N1084   ,133.43,17.501512195928125
N1084   ,133.62,18.099549150281245
N1084   ,134.41,18.712672209268735
N1084   ,134.61,19.30503288904373
N1084   ,134.74,19.843123058987484
N1084   ,135.49,20.306073908706228
N1084   ,136.0,20.69312305898748
N1084   ,136.66,21.025225424859368
N1084   ,137.11,21.340417960674998
N1084   ,137.07,21.68232779073125
N1084   ,137.38,22.08359423525312
N1084   ,137.92,22.552692535815627
N1084   ,137.95,23.072745751406256
N1084   ,138.3,23.613454915028115
N1084   ,138.87,24.147307464184365
N1084   ,138.58,24.661372875703123
N1084   ,139.38,25.16114745084375
N1084   ,139.59,25.66430339887498
N1084   ,140.06,26.185397634128105
N1084   ,140.71,26.720643385534366
N1084   ,141.47,27.245901699437486
N1084   ,141.65,27.72925018328435
N1084   ,142.1,28.147672209268734
