temp,count_original,count_0,count_1,count_2,count_3,count_4,count_5,
25.85000,1.11545,0.00066,0.93907,0.00000,0.00000,0.93973,1.11545,
25.23000,1.14045,0.00063,0.92875,0.00000,0.00000,0.92938,1.14045,
25.49000,1.15000,0.00064,0.93307,0.00000,0.00000,0.93372,1.15000,
26.66000,1.14045,0.00070,0.95261,0.00000,0.00000,0.95330,1.14045,
28.77000,1.11545,0.00081,0.98804,0.00000,0.00000,0.98885,1.11545,
31.18000,1.08455,0.00096,1.02879,0.00000,0.00000,1.02974,1.08455,
34.12000,1.05955,0.00117,1.07873,0.00000,0.00000,1.07990,1.05955,
36.75000,1.05000,0.00140,1.12348,0.00000,0.00000,1.12488,1.05000,
38.17000,1.05955,0.00153,1.14762,0.00000,0.00000,1.14915,1.05955,
39.11000,1.08455,0.00163,1.16357,0.00000,0.00000,1.16520,1.08455,
40.41000,1.11582,0.00178,1.18558,0.00000,0.00000,1.18735,1.11582,
41.27000,1.14309,0.00188,1.20010,0.00000,0.00000,1.20198,1.14309,
42.18000,1.15977,0.00199,1.21542,0.00000,0.00000,1.21741,1.15977,
42.45000,1.16545,0.00203,1.21996,0.00000,0.00000,1.22199,1.16545,
42.97000,1.16523,0.00209,1.22869,0.00000,0.00000,1.23078,1.16523,
42.98000,1.16682,0.00210,1.22885,0.00000,0.00000,1.23095,1.16682,
43.99000,1.17727,0.00223,1.24575,0.00000,0.00000,1.24798,1.17727,
44.32000,1.20059,0.00228,1.25125,0.00000,0.00000,1.25353,1.20059,
45.22000,1.23719,0.00242,1.26621,0.00000,0.00000,1.26863,1.23719,
45.14000,1.28455,0.00240,1.26489,0.00000,0.00000,1.26729,1.28455,
45.10000,1.33745,0.00240,1.26422,0.00000,0.00000,1.26662,1.33745,
45.40000,1.38722,0.00244,1.26920,0.00000,0.00000,1.27164,1.38722,
45.26000,1.42214,0.00242,1.26688,0.00000,0.00000,1.26930,1.42214,
46.18000,1.43090,0.00257,1.28210,0.00000,0.00000,1.28466,1.43090,
46.12000,1.40877,0.00256,1.28111,0.00000,0.00000,1.28366,1.40877,
46.75000,1.36205,0.00266,1.29148,0.00000,0.00000,1.29414,1.36205,
47.50000,1.30727,0.00279,1.30378,0.00000,0.00000,1.30657,1.30727,
48.00000,1.26464,0.00287,1.31195,0.00000,0.00000,1.31482,1.26464,
48.33000,1.24837,0.00293,1.31733,0.00000,0.00000,1.32026,1.24837,
48.89000,1.25955,0.00304,1.32642,0.00000,0.00000,1.32945,1.25955,
48.26000,1.28618,0.00292,1.31619,0.00000,0.00000,1.31911,1.28618,
48.17000,1.31036,0.00290,1.31472,0.00000,0.00000,1.31763,1.31036,
48.78000,1.31845,0.00302,1.32463,0.00000,0.00000,1.32765,1.31845,
49.19000,1.30832,0.00309,1.33127,0.00000,0.00000,1.33436,1.30832,
50.13000,1.28905,0.00328,1.34641,0.00000,0.00000,1.34968,1.28905,
50.75000,1.27441,0.00340,1.35632,0.00000,0.00000,1.35972,1.27441,
51.17000,1.27477,0.00349,1.36301,0.00000,0.00000,1.36650,1.27477,
51.78000,1.29168,0.00362,1.37268,0.00000,0.00000,1.37630,1.29168,
51.52000,1.31773,0.00356,1.36856,0.00000,0.00000,1.37213,1.31773,
52.01000,1.34082,0.00367,1.37631,0.00000,0.00000,1.37998,1.34082,
52.34000,1.35000,0.00375,1.38150,0.00000,0.00000,1.38525,1.35000,
52.56000,1.34082,0.00380,1.38496,0.00000,0.00000,1.38875,1.34082,
53.04000,1.31773,0.00391,1.39246,0.00000,0.00000,1.39637,1.31773,
53.36000,1.29168,0.00398,1.39745,0.00000,0.00000,1.40143,1.29168,
54.24000,1.27441,0.00420,1.41107,0.00000,0.00000,1.41526,1.27441,
54.49000,1.27250,0.00426,1.41491,0.00000,0.00000,1.41917,1.27250,
55.00000,1.28455,0.00439,1.42272,0.00000,0.00000,1.42711,1.28455,
55.66000,1.30286,0.00457,1.43275,0.00000,0.00000,1.43732,1.30286,
56.44000,1.31868,0.00478,1.44450,0.00000,0.00000,1.44928,1.31868,
56.30000,1.32727,0.00474,1.44240,0.00000,0.00000,1.44714,1.32727,
56.86000,1.32964,0.00490,1.45078,0.00000,0.00000,1.45568,1.32964,
56.91000,1.33009,0.00491,1.45152,0.00000,0.00000,1.45644,1.33009,
57.94000,1.33191,0.00522,1.46675,0.00000,0.00000,1.47197,1.33191,
57.96000,1.33477,0.00522,1.46705,0.00000,0.00000,1.47227,1.33477,
57.97000,1.33655,0.00523,1.46719,0.00000,0.00000,1.47242,1.33655,
57.98000,1.33741,0.00523,1.46734,0.00000,0.00000,1.47257,1.33741,
58.32000,1.34168,0.00533,1.47232,0.00000,0.00000,1.47765,1.34168,
58.55000,1.35545,0.00541,1.47567,0.00000,0.00000,1.48107,1.35545,
59.03000,1.38168,0.00556,1.48263,0.00000,0.00000,1.48818,1.38168,
59.35000,1.41632,0.00566,1.48724,0.00000,0.00000,1.49290,1.41632,
59.24000,1.44863,0.00563,1.48565,0.00000,0.00000,1.49128,1.44863,
59.82000,1.46582,0.00582,1.49396,0.00000,0.00000,1.49978,1.46582,
60.22000,1.45955,0.00595,1.49965,0.00000,0.00000,1.50560,1.45955,
60.14000,1.43090,0.00593,1.49852,0.00000,0.00000,1.50444,1.43090,
60.76000,1.39045,0.00614,1.50727,0.00000,0.00000,1.51341,1.39045,
60.84000,1.35365,0.00617,1.50839,0.00000,0.00000,1.51456,1.35365,
61.23000,1.33455,0.00631,1.51384,0.00000,0.00000,1.52015,1.33455,
