                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  2 Data Points per Second

File Name:        R&D-033019-jackT-groups-2-1-3 4
Date & Time:     4/1/2019 12:00:20 PM

Sample No.,Barcode,Time ( .5s),Temperature,
Counts
 4 ,N1034   , 0 ,24.00,1
 4 ,N1034   , 0.5 ,28.00,2
 4 ,N1034   , 1 ,31.00,1
 4 ,N1034   , 1.5 ,32.33,1
 4 ,N1034   , 2 ,33.56,2
 4 ,N1034   , 2.5 ,34.37,1
 4 ,N1034   , 3 ,34.91,2
 4 ,N1034   , 3.5 ,34.94,0
 4 ,N1034   , 4 ,35.63,2
 4 ,N1034   , 4.5 ,36.42,1
 4 ,N1034   , 5 ,37.95,1
 4 ,N1034   , 5.5 ,38.96,1
 4 ,N1034   , 6 ,39.64,2
 4 ,N1034   , 6.5 ,41.10,1
 4 ,N1034   , 7 ,41.73,1
 4 ,N1034   , 7.5 ,44.49,2
 4 ,N1034   , 8 ,43.99,1
 4 ,N1034   , 8.5 ,43.66,2
 4 ,N1034   , 9 ,43.77,1
 4 ,N1034   , 9.5 ,43.85,2
 4 ,N1034   , 10 ,44.23,1
 4 ,N1034   , 10.5 ,44.49,2
 4 ,N1034   , 11 ,44.66,1
 4 ,N1034   , 11.5 ,44.44,2
 4 ,N1034   , 12 ,44.96,1
 4 ,N1034   , 12.5 ,45.64,2
 4 ,N1034   , 13 ,45.76,1
 4 ,N1034   , 13.5 ,46.51,1
 4 ,N1034   , 14 ,47.00,2
 4 ,N1034   , 14.5 ,47.34,1
 4 ,N1034   , 15 ,45.89,1
 4 ,N1034   , 15.5 ,46.93,2
 4 ,N1034   , 16 ,47.28,1
 4 ,N1034   , 16.5 ,47.52,2
 4 ,N1034   , 17 ,48.35,1
 4 ,N1034   , 17.5 ,48.57,1
 4 ,N1034   , 18 ,49.04,1
 4 ,N1034   , 18.5 ,49.36,1
 4 ,N1034   , 19 ,50.24,2
 4 ,N1034   , 19.5 ,51.16,1
 4 ,N1034   , 20 ,51.11,2
 4 ,N1034   , 20.5 ,49.74,1
 4 ,N1034   , 21 ,50.49,1
 4 ,N1034   , 21.5 ,50.99,1
 4 ,N1034   , 22 ,52.00,1
 4 ,N1034   , 22.5 ,52.66,1
 4 ,N1034   , 23 ,53.11,1
 4 ,N1034   , 23.5 ,53.41,2
 4 ,N1034   , 24 ,53.94,1
 4 ,N1034   , 24.5 ,54.29,1
 4 ,N1034   , 25 ,54.53,1
 4 ,N1034   , 25.5 ,55.35,2
 4 ,N1034   , 26 ,55.90,1
 4 ,N1034   , 26.5 ,56.27,1
 4 ,N1034   , 27 ,56.18,3
 4 ,N1034   , 27.5 ,56.79,1
 4 ,N1034   , 28 ,56.52,2
 4 ,N1034   , 28.5 ,57.02,1
 4 ,N1034   , 29 ,57.68,1
 4 ,N1034   , 29.5 ,58.45,2
 4 ,N1034   , 30 ,58.63,1
 4 ,N1034   , 30.5 ,58.42,1
 4 ,N1034   , 31 ,59.28,2
 4 ,N1034   , 31.5 ,59.85,2
 4 ,N1034   , 32 ,60.24,1
 4 ,N1034   , 32.5 ,60.82,2
 4 ,N1034   , 33 ,60.88,1
 4 ,N1034   , 33.5 ,60.92,1
 4 ,N1034   , 34 ,61.61,1
 4 ,N1034   , 34.5 ,61.41,2
 4 ,N1034   , 35 ,62.27,2
 4 ,N1034   , 35.5 ,62.18,1
 4 ,N1034   , 36 ,62.12,1
 4 ,N1034   , 36.5 ,62.41,2
 4 ,N1034   , 37 ,63.28,1
 4 ,N1034   , 37.5 ,64.85,1
 4 ,N1034   , 38 ,64.90,2
 4 ,N1034   , 38.5 ,64.60,1
 4 ,N1034   , 39 ,65.07,2
 4 ,N1034   , 39.5 ,65.38,1
 4 ,N1034   , 40 ,65.25,1
 4 ,N1034   , 40.5 ,65.83,2
 4 ,N1034   , 41 ,66.22,1
 4 ,N1034   , 41.5 ,67.15,3
 4 ,N1034   , 42 ,67.77,2
 4 ,N1034   , 42.5 ,67.84,1
 4 ,N1034   , 43 ,67.90,2
 4 ,N1034   , 43.5 ,68.26,1
 4 ,N1034   , 44 ,68.18,1
 4 ,N1034   , 44.5 ,68.45,2
 4 ,N1034   , 45 ,69.30,2
 4 ,N1034   , 45.5 ,69.53,1
 4 ,N1034   , 46 ,70.02,2
 4 ,N1034   , 46.5 ,70.01,1
 4 ,N1034   , 47 ,70.68,2
 4 ,N1034   , 47.5 ,71.12,3
 4 ,N1034   , 48 ,71.75,2
 4 ,N1034   , 48.5 ,71.50,2
 4 ,N1034   , 49 ,72.33,2
 4 ,N1034   , 49.5 ,72.89,3
 4 ,N1034   , 50 ,72.59,2
 4 ,N1034   , 50.5 ,73.73,1
 4 ,N1034   , 51 ,74.15,2
 4 ,N1034   , 51.5 ,74.77,3
 4 ,N1034   , 52 ,74.51,1
 4 ,N1034   , 52.5 ,75.34,2
 4 ,N1034   , 53 ,75.23,3
 4 ,N1034   , 53.5 ,75.49,1
 4 ,N1034   , 54 ,75.66,3
 4 ,N1034   , 54.5 ,75.77,3
 4 ,N1034   , 55 ,76.51,2
 4 ,N1034   , 55.5 ,77.01,2
 4 ,N1034   , 56 ,77.34,2
 4 ,N1034   , 56.5 ,78.23,2
 4 ,N1034   , 57 ,78.48,2
 4 ,N1034   , 57.5 ,78.99,2
 4 ,N1034   , 58 ,78.99,3
 4 ,N1034   , 58.5 ,79.33,2
 4 ,N1034   , 59 ,79.55,2
 4 ,N1034   , 59.5 ,80.03,3
 4 ,N1034   , 60 ,80.69,2
 4 ,N1034   , 60.5 ,81.13,3
 4 ,N1034   , 61 ,81.75,2
 4 ,N1034   , 61.5 ,81.83,2
 4 ,N1034   , 62 ,82.22,3
 4 ,N1034   , 62.5 ,82.48,3
 4 ,N1034   , 63 ,82.65,3
 4 ,N1034   , 63.5 ,82.77,3
 4 ,N1034   , 64 ,83.18,4
 4 ,N1034   , 64.5 ,84.12,2
 4 ,N1034   , 65 ,84.41,3
 4 ,N1034   , 65.5 ,84.61,3
 4 ,N1034   , 66 ,85.41,3
 4 ,N1034   , 66.5 ,85.60,4
 4 ,N1034   , 67 ,85.74,3
 4 ,N1034   , 67.5 ,86.49,3
 4 ,N1034   , 68 ,86.66,3
 4 ,N1034   , 68.5 ,86.77,4
 4 ,N1034   , 69 ,87.18,4
 4 ,N1034   , 69.5 ,87.45,3
 4 ,N1034   , 70 ,87.64,4
 4 ,N1034   , 70.5 ,88.09,4
 4 ,N1034   , 71 ,88.73,4
 4 ,N1034   , 71.5 ,89.48,4
 4 ,N1034   , 72 ,89.99,4
 4 ,N1034   , 72.5 ,90.33,3
 4 ,N1034   , 73 ,90.55,5
 4 ,N1034   , 73.5 ,90.70,4
 4 ,N1034   , 74 ,92.13,6
 4 ,N1034   , 74.5 ,92.09,4
 4 ,N1034   , 75 ,92.06,5
 4 ,N1034   , 75.5 ,92.71,5
 4 ,N1034   , 76 ,92.47,5
 4 ,N1034   , 76.5 ,92.65,5
 4 ,N1034   , 77 ,93.10,5
 4 ,N1034   , 77.5 ,93.40,5
 4 ,N1034   , 78 ,93.93,6
 4 ,N1034   , 78.5 ,94.29,5
 4 ,N1034   , 79 ,94.53,5
 4 ,N1034   , 79.5 ,95.35,6
 4 ,N1034   , 80 ,95.23,6
 4 ,N1034   , 80.5 ,95.49,5
 4 ,N1034   , 81 ,95.99,7
 4 ,N1034   , 81.5 ,96.66,8
 4 ,N1034   , 82 ,97.11,7
 4 ,N1034   , 82.5 ,97.07,8
 4 ,N1034   , 83 ,97.38,6
 4 ,N1034   , 83.5 ,97.92,7
 4 ,N1034   , 84 ,98.28,6
 4 ,N1034   , 84.5 ,98.85,7
 4 ,N1034   , 85 ,98.90,7
 4 ,N1034   , 85.5 ,98.93,7
 4 ,N1034   , 86 ,99.29,7
 4 ,N1034   , 86.5 ,99.86,7
 4 ,N1034   , 87 ,100.57,7
 4 ,N1034   , 87.5 ,101.05,8
 4 ,N1034   , 88 ,101.37,8
 4 ,N1034   , 88.5 ,101.24,7
 4 ,N1034   , 89 ,102.16,8
 4 ,N1034   , 89.5 ,102.44,8
 4 ,N1034   , 90 ,102.63,8
 4 ,N1034   , 90.5 ,103.42,8
 4 ,N1034   , 91 ,103.61,8
 4 ,N1034   , 91.5 ,104.07,8
 4 ,N1034   , 92 ,104.72,7
 4 ,N1034   , 92.5 ,104.81,8
 4 ,N1034   , 93 ,105.21,8
 4 ,N1034   , 93.5 ,105.80,8
 4 ,N1034   , 94 ,105.54,9
 4 ,N1034   , 94.5 ,105.36,8
 4 ,N1034   , 95 ,105.91,8
 4 ,N1034   , 95.5 ,106.27,9
 4 ,N1034   , 96 ,107.51,8
 4 ,N1034   , 96.5 ,107.68,8
 4 ,N1034   , 97 ,108.12,9
 4 ,N1034   , 97.5 ,108.41,9
