barcode,temp,Count
N1103   ,36.0,1.9804508497187467
N1103   ,36.33,1.972360679774997
N1103   ,35.89,1.9511803398874985
N1103   ,35.93,1.9249999999999994
N1103   ,35.95,1.9038196601125001
N1103   ,35.97,1.8957294901687511
N1103   ,35.64,1.9038196601125004
N1103   ,36.1,1.9249999999999992
N1103   ,36.73,1.9511803398874983
N1103   ,38.15,1.9723606797749968
N1103   ,39.1,1.9804508497187467
N1103   ,39.74,1.972360679774997
N1103   ,41.16,1.9498606797749973
N1103   ,41.77,1.918090169943749
N1103   ,44.51,1.8845491502812515
N1103   ,44.01,1.85690983005625
N1103   ,43.67,1.8405901699437486
N1103   ,43.78,1.8368237254218784
N1103   ,43.85,1.8422745751406258
N1103   ,44.24,1.8517705098312478
N1103   ,44.49,1.8621884705062541
N1103   ,44.66,1.8738196601125003
N1103   ,44.44,1.8886271242968677
N1103   ,44.96,1.906684405196876
N1103   ,45.64,1.9235942352531268
N1103   ,45.76,1.9319427190999907
N1103   ,46.51,1.9252254248593732
N1103   ,47.0,1.901233555478129
N1103   ,47.34,1.8639918693812438
N1103   ,45.89,1.8227254248593732
N1103   ,46.93,1.7884220259843835
N1103   ,47.28,1.7703647450843751
N1103   ,47.52,1.7729508497187467
N1103   ,48.35,1.7942376207875068
N1103   ,48.57,1.8274138953656276
N1103   ,49.04,1.8632623792124918
N1103   ,49.36,1.8923606797749972
N1103   ,50.24,1.9074138953656279
N1103   ,51.16,1.9056762745781204
N1103   ,51.11,1.889946784409369
N1103   ,49.74,1.866684405196876
N1103   ,50.49,1.8426393202250015
N1103   ,50.99,1.822725424859373
N1103   ,52.0,1.809045084971874
N1103   ,52.66,1.7999999999999994
N1103   ,53.11,1.790590169943749
N1103   ,53.41,1.775364745084375
N1103   ,53.94,1.7524999999999995
N1103   ,54.29,1.7252254248593732
N1103   ,54.53,1.7001393202250015
N1103   ,55.35,1.6843237254218786
N1103   ,55.9,1.6824999999999994
N1103   ,56.27,1.6949999999999994
N1103   ,56.18,1.7174138953656282
N1103   ,56.79,1.7428647450843748
N1103   ,56.52,1.7654508497187467
N1103   ,57.02,1.7821352549156237
N1103   ,57.68,1.792864745084375
N1103   ,58.45,1.8003647450843752
N1103   ,58.63,1.80940983005625
N1103   ,58.42,1.8246352549156235
N1103   ,59.28,1.8471352549156235
N1103   ,59.85,1.8724999999999992
N1103   ,60.24,1.892725424859373
N1103   ,60.82,1.9000861046343709
N1103   ,60.88,1.8904508497187467
N1103   ,60.92,1.865364745084375
N1103   ,61.61,1.83190983005625
N1103   ,61.41,1.7994959346906214
N1103   ,62.27,1.7749999999999995
N1103   ,62.18,1.7600532155906299
N1103   ,62.12,1.7526393202250015
N1103   ,62.41,1.7500861046343712
N1103   ,63.28,1.7499999999999993
N1103   ,64.85,1.7502786404500035
N1103   ,64.9,1.7496352549156238
N1103   ,64.6,1.7478115294937449
N1103   ,65.07,1.745504065309377
N1103   ,65.38,1.7444630456468806
N1103   ,65.25,1.7475861046343708
N1103   ,65.83,1.7575861046343708
N1103   ,66.22,1.7737335554781288
N1103   ,67.15,1.7902254248593734
N1103   ,67.77,1.7989918693812432
N1103   ,67.84,1.794549150281252
N1103   ,67.9,1.7780040653093772
N1103   ,68.26,1.7583155948031228
N1103   ,68.18,1.7485942352531267
N1103   ,68.45,1.7593237254218788
N1103   ,69.3,1.792864745084375
N1103   ,69.53,1.8422745751406258
N1103   ,70.02,1.8949999999999994
N1103   ,70.01,1.9381762745781201
N1103   ,70.68,1.9625861046343709
N1103   ,71.12,1.9648606797749972
N1103   ,71.75,1.9479508497187468
N1103   ,71.5,1.9199999999999995
N1103   ,72.33,1.8924138953656273
N1103   ,72.89,1.8774138953656276
N1103   ,72.59,1.884549150281252
N1103   ,73.73,1.916684405196876
N1103   ,74.15,1.9674999999999991
N1103   ,74.77,2.022725424859373
N1103   ,74.51,2.064721359549995
N1103   ,75.34,2.078627124296868
N1103   ,75.23,2.0579508497187464
N1103   ,75.49,2.0074999999999994
N1103   ,75.66,1.9427254248593728
N1103   ,75.77,1.8845491502812517
N1103   ,76.51,1.8517376207875067
N1103   ,77.01,1.8550532155906299
N1103   ,77.34,1.8949138953656277
N1103   ,78.23,1.9620491502812523
N1103   ,78.48,2.0409549150281245
N1103   ,78.99,2.1148606797749974
N1103   ,78.99,2.1695820393249927
N1103   ,79.33,2.196127124296867
