temp,count_original,count_0,count_1,count_2,count_3,
36.32000,2.16845,1.42492,0.00000,1.42492,2.16845,
36.21000,2.17023,1.42389,0.00000,1.42389,2.17023,
36.14000,2.17090,1.42323,0.00000,1.42323,2.17090,
35.76000,2.17023,1.41966,0.00000,1.41966,2.17023,
36.17000,2.16845,1.42351,0.00000,1.42351,2.16845,
36.78000,2.16627,1.42924,0.00000,1.42924,2.16627,
38.19000,2.16450,1.44254,0.00000,1.44254,2.16450,
39.13000,2.16382,1.45145,0.00000,1.45145,2.16382,
39.75000,2.16450,1.45734,0.00000,1.45734,2.16450,
41.17000,2.16281,1.47089,0.00000,1.47089,2.16281,
41.78000,2.15036,1.47673,0.00000,1.47673,2.15036,
44.52000,2.12073,1.50316,0.00000,1.50316,2.12073,
44.01000,2.07545,1.49822,0.00000,1.49822,2.07545,
43.67000,2.02464,1.49493,0.00000,1.49493,2.02464,
43.78000,1.98182,1.49599,0.00000,1.49599,1.98182,
43.86000,1.95668,1.49677,0.00000,1.49677,1.95668,
44.24000,1.94950,1.50045,0.00000,1.50045,1.94950,
44.49000,1.95023,1.50287,0.00000,1.50287,1.95023,
44.66000,1.94359,1.50452,0.00000,1.50452,1.94359,
44.44000,1.91809,1.50238,0.00000,1.50238,1.91809,
44.96000,1.87245,1.50743,0.00000,1.50743,1.87245,
45.64000,1.81523,1.51405,0.00000,1.51405,1.81523,
45.76000,1.75946,1.51522,0.00000,1.51522,1.75946,
46.51000,1.71705,1.52254,0.00000,1.52254,1.71705,
47.00000,1.69523,1.52734,0.00000,1.52734,1.69523,
47.34000,1.69469,1.53067,0.00000,1.53067,1.69469,
45.89000,1.71005,1.51648,0.00000,1.51648,1.71005,
46.93000,1.73332,1.52665,0.00000,1.52665,1.73332,
47.28000,1.75736,1.53008,0.00000,1.53008,1.75736,
47.52000,1.77764,1.53244,0.00000,1.53244,1.77764,
48.35000,1.79286,1.54061,0.00000,1.54061,1.79286,
48.57000,1.80450,1.54278,0.00000,1.54278,1.80450,
49.04000,1.81450,1.54742,0.00000,1.54742,1.81450,
49.36000,1.82214,1.55058,0.00000,1.55058,1.82214,
50.24000,1.82273,1.55932,0.00000,1.55932,1.82273,
51.16000,1.81045,1.56848,0.00000,1.56848,1.81045,
51.11000,1.78273,1.56798,0.00000,1.56798,1.78273,
49.74000,1.74286,1.55435,0.00000,1.55435,1.74286,
50.49000,1.70014,1.56180,0.00000,1.56180,1.70014,
50.99000,1.66668,1.56678,0.00000,1.56678,1.66668,
52.00000,1.65264,1.57688,0.00000,1.57688,1.65264,
52.66000,1.66255,1.58350,0.00000,1.58350,1.66255,
